County,Precinct,CD,Biden,Trump,Total
Belknap (pt.),Alton,1,"1,438","2,420","3,903"
Belknap (pt.),Barnstead,1,1150,"1,698","2,922"
Belknap (pt.),Belmont,1,"1,609","2,365","4,052"
Belknap (pt.),Center Harbor,2,379,407,792
Belknap (pt.),Gilford,1,"2,508","2,748","5,313"
Belknap (pt.),Gilmanton,1,1020,"1,423","2,478"
Belknap (pt.),Laconia Ward 1,1,773,976,1772
Belknap (pt.),Laconia Ward 2,1,585,665,1270
Belknap (pt.),Laconia Ward 3,1,824,617,1463
Belknap (pt.),Laconia Ward 4,1,672,682,1380
Belknap (pt.),Laconia Ward 5,1,440,608,1076
Belknap (pt.),Laconia Ward 6,1,847,"1,094","1,959"
Belknap (pt.),Meredith,1,"2,139","2,208","4,407"
Belknap (pt.),New Hampton,1,697,810,1534
Belknap (pt.),Sanbornton,1,875,"1,134","2,045"
Belknap (pt.),Tilton,1,938,1044,2025
Carroll,Albany,1,250,190,449
Carroll,Bartlett,1,"1,374",773,2170
Carroll,Brookfield,1,218,315,545
Carroll,Chatham,1,106,130,244
Carroll,Conway,1,"3,380","2,380","5,849"
Carroll,Eaton,1,188,117,309
Carroll,Effingham,1,391,526,926
Carroll,Freedom,1,538,538,1090
Carroll,Hale's Location,1,31,85,117
Carroll,Hart's Location,1,23,20,43
Carroll,Jackson,1,567,212,786
Carroll,Madison,1,926,760,1703
Carroll,Moultonborough,1,"1,605","1,997","3,646"
Carroll,Ossipee,1,965,"1,487","2,486"
Carroll,Sandwich,1,718,413,1143
Carroll,Tamworth,1,899,838,1768
Carroll,Tuftonboro,1,875,1012,1900
Carroll,Wakefield,1,1240,"1,986","3,270"
Carroll,Wolfeboro,1,"2,355","2,371","4,777"
Cheshire,Alstead,2,684,477,1189
Cheshire,Chesterfield,2,"1,390",958,2392
Cheshire,Dublin,2,687,404,1109
Cheshire,Fitzwilliam,2,666,682,1367
Cheshire,Gilsum,2,240,263,516
Cheshire,Harrisville,2,553,201,760
Cheshire,Hinsdale,2,1048,829,1910
Cheshire,Jaffrey,2,"1,528","1,410","3,018"
Cheshire,Keene Ward 1,2,"1,301",443,1767
Cheshire,Keene Ward 2,2,"1,849",712,2609
Cheshire,Keene Ward 3,2,"1,695",800,2534
Cheshire,Keene Ward 4,2,"1,921",920,2901
Cheshire,Keene Ward 5,2,"2,200",889,3141
Cheshire,Marlborough,2,806,441,1269
Cheshire,Marlow,2,277,207,496
Cheshire,Nelson,2,275,164,451
Cheshire,Richmond,2,292,413,719
Cheshire,Rindge,2,"1,443","2,144","3,658"
Cheshire,Roxbury,2,92,52,144
Cheshire,Stoddard,2,419,430,849
Cheshire,Sullivan,2,216,186,412
