County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Autauga,Autauga,2,"7,503","19,838","27,691",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Baldwin,Baldwin,1,"24,578","83,544","109,351",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Barbour,Barbour,2,"4,816","5,622","10,506",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bibb,Bibb,6,"1,986","7,525","9,585",,,,,,,,,,,,,,,,,,,,,
Bullock,Bullock,2,"3,446","1,146","4,611",,,,,,,,,,,,,,,,,,,,,
Butler,Butler,2,"3,965","5,458","9,482",,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,3,"15,216","35,101","50,870",,,,,,,,,,,,,,,,,,,,,
Chambers,Chambers,3,"6,365","8,753","15,259",,,,,,,,,,,,,,,,,,,,,
Chilton,Chilton,6,"3,073","16,085","19,281",,,,,,,,,,,,,,,,,,,,,
Choctaw,Choctaw,7,"3,127","4,296","7,461",,,,,,,,,,,,,,,,,,,,,
Clay,Clay,3,"1,267","5,601","6,921",,,,,,,,,,,,,,,,,,,,,
Cleburne,Cleburne,3,675,"6,484",7219,,,,,,,,,,,,,,,,,,,,,
Coffee,Coffee,2,"5,076","16,899","22,239",,,,,,,,,,,,,,,,,,,,,
Colbert,Colbert,4,"8,343","19,203","27,818",,,,,,,,,,,,,,,,,,,,,
Conecuh,Conecuh,2,"2,966","3,442","6,440",,,,,,,,,,,,,,,,,,,,,
Coosa,Coosa,6,"1,796","3,631","5,473",,,,,,,,,,,,,,,,,,,,,
Covington,Covington,2,"2,721","14,586","17,404",,,,,,,,,,,,,,,,,,,,,
Crenshaw,Crenshaw,2,"1,700","4,864","6,608",,,,,,,,,,,,,,,,,,,,,
Cullman,Cullman,4,"4,478","36,880","41,776",,,,,,,,,,,,,,,,,,,,,
Dale,Dale,2,"5,170","14,303","19,706",,,,,,,,,,,,,,,,,,,,,
Dallas,Dallas,7,"12,230","5,524","17,844",,,,,,,,,,,,,,,,,,,,,
DeKalb,DeKalb,4,"4,281","24,767","29,298",,,,,,,,,,,,,,,,,,,,,
Elmore,Elmore,2,"10,367","30,164","40,929",,,,,,,,,,,,,,,,,,,,,
Escambia,Escambia,1,"4,918","10,869","15,881",,,,,,,,,,,,,,,,,,,,,
