County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Arkansas,Arkansas,1,1818,4304,6292,,,,,,,,,,,,,,,,,,,0,0,#REF!
Ashley,Ashley,4,2125,5548,7926,,,,,,,,,,,,,,,,,,,,,
Baxter,Baxter,1,4635,15836,21007,,,,,,,,,,,,,,,,,,,,,
Benton,Benton,3,42249,73965,119912,,,,,,,,,,,,,,,,,,,,,
Boone,Boone,3,3064,13652,17114,,,,,,,,,,,,,,,,,,,,,
Bradley,Bradley,4,1214,2335,3654,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,4,479,1636,2182,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,3,4023,7424,11797,,,,,,,,,,,,,,,,,,,,,
Chicot,Chicot,1,2260,1752,4103,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,4,3438,4616,8395,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,1,962,4086,5183,,,,,,,,,,,,,,,,,,,,,
Cleburne,Cleburne,1,1988,10328,12680,,,,,,,,,,,,,,,,,,,,,
Cleveland,Cleveland,4,651,2867,3600,,,,,,,,,,,,,,,,,,,,,
Columbia,Columbia,4,2814,5500,8616,,,,,,,,,,,,,,,,,,,,,
Conway,Conway,2,2615,5694,8685,,,,,,,,,,,,,,,,,,,,,
Craighead,Craighead,1,11921,25558,38511,,,,,,,,,,,,,,,,,,,,,
Crittenden,Crittenden,1,8514,7333,16367,,,,,,,,,,,,,,,,,,,,,
Cross,Cross,1,1772,4946,6942,,,,,,,,,,,,,,,,,,,,,
Dallas,Dallas,4,963,1573,2649,,,,,,,,,,,,,,,,,,,,,
Desha,Desha,1,2016,1921,4164,,,,,,,,,,,,,,,,,,,,,
Drew,Drew,4,2426,4349,6908,,,,,,,,,,,,,,,,,,,,,
Faulkner,Faulkner,2,18347,34421,54428,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,4,1300,5677,7129,,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,1,1035,3961,5119,,,,,,,,,,,,,,,,,,,,,
Garland,Garland,4,14045,29069,44199,,,,,,,,,,,,,,,,,,,,,
Grant,Grant,4,1268,6794,8200,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,1,3058,12670,16100,,,,,,,,,,,,,,,,,,,,,
Hempstead,Hempstead,4,2138,4470,6848,,,,,,,,,,,,,,,,,,,,,
Hot Spring,HotSpring,4,3082,9202,12557,,,,,,,,,,,,,,,,,,,,,
Howard,Howard,4,1340,3367,4834,,,,,,,,,,,,,,,,,,,,,
Independence,Independence,1,2806,11250,14512,,,,,,,,,,,,,,,,,,,,,
Izard,Izard,1,1021,4631,5810,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,1,1365,3593,5091,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,4,2283,6938,9498,,,,,,,,,,,,,,,,,,,,,
Lafayette,Lafayette,4,839,1757,2679,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,1,1080,4569,5857,,,,,,,,,,,,,,,,,,,,,
