Town,Precinct,CD,Biden,Trump,Total
Andover,Andover Elementary School Gymnasium,2,1058,998,2091
Ansonia,Ward 1 Ansonia Armory,3,747,436,1194
Ansonia,Ward 2 Ansonia Armory,3,649,481,1140
Ansonia,Ward 3 Holy Rosary Church Hall,3,605,471,1094
Ansonia,Ward 4 Ansonia Middle School Gym,3,465,267,743
Ansonia,"Ward 5 Ansonia Middle School Gym,",3,684,501,1207
Ansonia,Ward 6 Prendergast School Gym,3,665,762,1443
Ansonia,Ward 7 Mead School Cafe,3,706,879,1597
Ashford,Knowlton Memorial Hall,2,1330,1160,2542
Avon,Avon High School - Gymnasium,5,2866,1875,4820
Avon,Firehouse Company #1,5,2105,1153,3322
Avon,Roaring Brook School,5,2328,1441,3844
Barkhamsted,Barkhamsted Elementary School,1,1154,1228,2440
Beacon Falls,Laurel Ledge School,3,1543,2191,3803
Berlin,Griswold School,1,1651,1823,3522
Berlin,Hubbard School,1,1244,1335,2605
Berlin,Senior Center,1,895,1209,2137
Berlin,VFW,1,1517,1548,3118
Berlin,Willard School,1,701,772,1490
Bethany,Town Hall,3,1912,1718,3698
Bethel,Bethel Municipal Center 1,5,920,520,1457
Bethel,Bethel Municipal Center 4,5,1673,1133,2852
Bethel,Frank A. Berry School - 3,5,2064,1656,3777
Bethel,Frank A. Berry School - 5,5,243,255,509
Bethel,Stony Hill Fire House -2,5,1370,1170,2574
Bethlehem,Bethlehem Town Office Building,5,937,1393,2366
Bloomfield,Bloomfield High School,1,2241,329,2598
Bloomfield,Carmen Arace Middle School,1,2057,141,2209
Bloomfield,Laurel Elementary School,1,2716,337,3080
Bloomfield,Leisure Services Gym,1,1775,528,2329
Bloomfield,Metacomet Elementary School,1,2218,363,2601
Bolton,Bolton Center School,2,1727,1482,3286
Bozrah,Fields Memorial School,2,703,817,1548
Branford,Branford Fire Headquarters,3,2132,1379,3569
Branford,Branford High School,3,1245,522,1798
Branford,Branford Yacht Club,3,1740,1160,2942
Branford,Community House,3,1936,1462,3455
Branford,Mary R. Tisko School,3,1096,747,1869
Branford,Mary T. Murphy School,3,1368,1186,2577
Branford,St. Therese Church Hall,3,1045,642,1696
Bridgeport,Barnum School,4,1009,167,1180
Bridgeport,Bassick High School,4,647,121,772
Bridgeport,Bassick High School,4,1051,163,1221
Bridgeport,Beardsley School,4,271,58,331
Bridgeport,Beardsley School,4,332,87,424
Bridgeport,Black Rock School,4,2152,778,2972
Bridgeport,Blackham School,4,3075,1094,4211
Bridgeport,Central High School,4,792,158,958
Bridgeport,Central High School,4,2026,609,2659
Bridgeport,Cesar Batalla School,4,1457,330,1797
Bridgeport,City Hall,4,600,114,719
Bridgeport,Dunbar School,4,1843,210,2062
Bridgeport,Geraldine Johnson School,4,2092,339,2444
Bridgeport,Hallen School,4,1574,275,1865
Bridgeport,Harding High School,4,1662,320,2033
Bridgeport,John F. Kennedy Campus,4,2026,474,2510
Bridgeport,John Winthrop School,4,2260,985,3277
Bridgeport,Luis Munoz Marin School,4,1619,395,2023
Bridgeport,Park City Magnet School,4,1473,373,1856
Bridgeport,Read Middle School,4,161,48,209
Bridgeport,Read Middle School,4,625,142,772
Bridgeport,The Aquaculture Center,4,1037,209,1258
Bridgeport,Thomas Hooker School,4,1775,559,2353
Bridgeport,Wilbur Cross School,4,1956,261,2231
Bridgewater,Bridgewater Senior Center,5,667,549,1233
Bristol,Bristol Eastern High School,1,1014,902,1949
Bristol,Bristol Elks Club,1,1764,1169,2975
Bristol,Chippens Hill Middle School,1,1516,1652,3210
Bristol,Edgewood School,1,1935,1633,3611
Bristol,Greene-Hills School,1,2200,1901,4178
Bristol,Mountain View School,1,1803,1552,3415
Bristol,Northeast School,1,1867,1755,3679
Bristol,Southside School,1,1899,1569,3530
Bristol,West Bristol School,1,1464,1701,3227
Brookfield,Brookfield High School,5,3345,3114,6548
Brookfield,Huckleberry Hill School,5,2081,2112,4254
Brooklyn,Brooklyn Middle School,2,1876,2262,4221
Burlington,Town Hall,5,3099,3034,6231
