County,ShortName,CD,Biden,Trump,Total,
Appling,Appling,12,1784,6570,8390,
Atkinson,Atkinson,8,825,2300,3155,
Bacon,Bacon,1,625,4017,4667,
Baker,Baker,2,652,897,1555,
Baldwin,Baldwin,10,9140,8903,18251,
Banks,Banks,9,932,7795,8801,
Barrow,Barrow,10,10453,26804,37921,
Bartow,Bartow,11,12091,37672,50464,
Ben Hill,BenHill,8,2393,4111,6564,
Berrien,Berrien,8,1269,6419,7743,
Bleckley,Bleckley,8,1312,4329,5708,
Brantley,Brantley,1,700,6993,7749,
Brooks,Brooks,8,2791,4261,7101,
Bryan,Bryan,1,6738,14240,21335,
Bulloch,Bulloch,12,11248,18387,30090,
Burke,Burke,12,5208,5400,10683,
Butts,Butts,10,3274,8406,11771,
Calhoun,Calhoun,2,1263,923,2198,
Camden,Camden,1,7967,15249,23686,
Candler,Candler,12,1269,3133,4431,
Carroll,Carroll,3,16236,37476,54472,
Catoosa,Catoosa,14,6932,25167,32593,
Charlton,Charlton,1,1105,3419,4568,
Chatham,Chatham,1,78247,53232,133408,
Chattahoochee,Chattahoochee,2,667,880,1582,
Chattooga,Chattooga,14,1854,8064,10050,
Cherokee,Cherokee,11,42779,99585,144815,
Clay,Clay,2,791,637,1435,
Clinch,Clinch,1,744,2105,2861,
Coffee,Coffee,12,4511,10578,15214,
Colquitt,Colquitt,8,4190,11777,16086,
Cook,Cook,8,2059,4900,7035,
Coweta,Coweta,3,24210,51501,76799,
Crawford,Crawford,2,1615,4428,6102,
Crisp,Crisp,2,2982,4985,8033,
Dade,Dade,14,1261,6066,7434,
Dawson,Dawson,9,2486,13398,16081,
Decatur,Decatur,2,4782,6755,11625,
Dodge,Dodge,8,2172,5843,8071,
Dooly,Dooly,2,1911,2159,4105,
Dougherty,Dougherty,2,24568,10441,35287,
Douglas,Douglas,13,42814,25454,69106,
Early,Early,2,2450,2710,5188,
Echols,Echols,1,167,1256,1441,
Elbert,Elbert,9,2879,6226,9171,
Emanuel,Emanuel,12,2886,6553,9505,
Evans,Evans,12,1324,2888,4247,
Fannin,Fannin,9,2570,12169,14849,
Floyd,Floyd,14,11917,28906,41341,
Franklin,Franklin,9,1593,9069,10765,
Gilmer,Gilmer,9,2932,13429,16525,
Glascock,Glascock,10,155,1402,1565,
Glynn,Glynn,1,15882,25617,41988,
Gordon,Gordon,14,4384,19405,24033,
Grady,Grady,2,3619,7034,10707,
Greene,Greene,10,4087,7066,11244,
Habersham,Habersham,9,3562,16637,20431,
Hall,Hall,9,25033,64183,90537,
Hancock,Hancock,10,2976,1154,4153,
Haralson,Haralson,14,1791,12330,14246,
Harris,Harris,3,5457,14319,19991,
Hart,Hart,9,3157,9465,12728,
Heard,Heard,3,824,4519,5394,
Houston,Houston,8,32239,41540,74838,
Irwin,Irwin,8,1008,3134,4168,
Jackson,Jackson,9,7642,29502,37675,
Jasper,Jasper,10,1761,5822,7644,
Jeff Davis,JeffDavis,12,1028,4695,5771,
Jefferson,Jefferson,10,4058,3537,7639,
Jenkins,Jenkins,12,1266,2161,3455,
Johnson,Johnson,10,1222,2850,4100,
Jones,Jones,8,4882,9940,14934,
Lamar,Lamar,3,2620,6331,9045,
Lanier,Lanier,8,1019,2509,3576,
Laurens,Laurens,12,8074,14493,22731,
Lee,Lee,2,4558,12007,16714,
Liberty,Liberty,1,13104,7959,21394,
Lincoln,Lincoln,10,1432,3173,4641,
Long,Long,1,2035,3527,5657,
Lumpkin,Lumpkin,9,3126,12163,15531,
