County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,
Adams,Adams,1,591,1941,2586,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bannock,Bannock,2,14682,23331,39553,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bear Lake,BearLake,2,350,2914,3315,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Benewah,Benewah,1,977,3878,4973,,,,,,,,,,,,,,,,
Bingham,Bingham,2,4124,15295,19996,,,,,,,,,,,,,,,,
Blaine,Blaine,2,8919,4032,13289,,,,,,,,,,,,,,,,
Boise,Boise,1,1204,3485,4820,,,,,,,,,,,,,,,,
Bonner,Bonner,1,8310,18369,27335,,,,,,,,,,,,,,,,
Bonneville,Bonneville,2,14254,37805,53995,,,,,,,,,,,,,,,,
Boundary,Boundary,1,1220,4937,6313,,,,,,,,,,,,,,,,
Butte,Butte,2,188,1202,1415,,,,,,,,,,,,,,,,
Camas,Camas,2,149,507,754,,,,,,,,,,,,,,,,
Canyon,Canyon,1,25881,61759,90410,,,,,,,,,,,,,,,,
Caribou,Caribou,2,431,2906,3416,,,,,,,,,,,,,,,,
Cassia,Cassia,2,1464,7907,9629,,,,,,,,,,,,,,,,
Clark,Clark,2,41,264,311,,,,,,,,,,,,,,,,
Clearwater,Clearwater,1,877,3453,4419,,,,,,,,,,,,,,,,
Custer,Custer,2,603,2089,2739,,,,,,,,,,,,,,,,
Elmore,Elmore,2,2601,7246,10205,,,,,,,,,,,,,,,,
Franklin,Franklin,2,657,5845,6664,,,,,,,,,,,,,,,,
Fremont,Fremont,2,998,5548,6719,,,,,,,,,,,,,,,,
Gem,Gem,1,1803,7951,9958,,,,,,,,,,,,,,,,
Gooding,Gooding,2,1256,4659,6050,,,,,,,,,,,,,,,,
Idaho,Idaho,1,1561,7826,9602,,,,,,,,,,,,,,,,
Jefferson,Jefferson,2,1661,12099,14173,,,,,,,,,,,,,,,,
Jerome,Jerome,2,1893,5734,7812,,,,,,,,,,,,,,,,
Kootenai,Kootenai,1,24312,62837,89467,,,,,,,,,,,,,,,,
Latah,Latah,1,10236,9472,20570,,,,,,,,,,,,,,,,
Lemhi,Lemhi,2,1032,3592,4738,,,,,,,,,,,,,,,,
Lewis,Lewis,1,349,1489,1870,,,,,,,,,,,,,,,,
Lincoln,Lincoln,2,414,1469,1940,,,,,,,,,,,,,,,,
Madison,Madison,2,2666,13559,17112,,,,,,,,,,,,,,,,
Minidoka,Minidoka,2,1550,6265,7993,,,,,,,,,,,,,,,,
Nez Perce,NezPerce,1,6686,13738,20967,,,,,,,,,,,,,,,,
Oneida,Oneida,2,249,2148,2451,,,,,,,,,,,,,,,,
Owyhee,Owyhee,1,816,3819,4742,,,,,,,,,,,,,,,,
Payette,Payette,1,2161,8862,11293,,,,,,,,,,,,,,,,
Power,Power,2,865,2116,3074,,,,,,,,,,,,,,,,
Shoshone,Shoshone,1,1693,4216,6049,,,,,,,,,,,,,,,,
Teton,Teton,2,3318,2858,6347,,,,,,,,,,,,,,,,
Twin Falls,TwinFalls,2,9391,25897,36501,,,,,,,,,,,,,,,,
Valley,Valley,1,2976,3947,7063,,,,,,,,,,,,,,,,
Washington,Washington,1,1073,4154,5344,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,
Ada (pt.),Ada,1,47726,87426,139360,4208,,,,,,,,,,,,,,,
Ada (pt.),Ada,2,72813,43273,120029,3943,,,,,,,,,,,,,,,
