County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adams,Adams,18,8633,24220,33527,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Alexander,Alexander,12,1114,1486,2618,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Boone,Boone,16,10542,13883,24979,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Brown,Brown,18,486,1931,2521,,,,,,,,,,,,,,,,,,,,,
Bureau,Bureau,16,6669,10411,17434,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,13,677,2046,2772,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,17,2748,5105,8024,,,,,,,,,,,,,,,,,,,,,
Cass,Cass,18,1615,3625,5317,,,,,,,,,,,,,,,,,,,,,
Christian,Christian,13,4335,11563,16204,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,15,1993,6226,8355,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,15,1129,5629,6886,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,15,4493,14304,19170,,,,,,,,,,,,,,,,,,,,,
Coles,Coles,15,8067,14037,22606,,,,,,,,,,,,,,,,,,,,,
Crawford,Crawford,15,2202,7043,9425,,,,,,,,,,,,,,,,,,,,,
Cumberland,Cumberland,15,1142,4601,5831,,,,,,,,,,,,,,,,,,,,,
DeWitt,DeWitt,13,2191,5632,8024,,,,,,,,,,,,,,,,,,,,,
Douglas,Douglas,15,2335,6227,8738,,,,,,,,,,,,,,,,,,,,,
Edgar,Edgar,15,1887,6193,8196,,,,,,,,,,,,,,,,,,,,,
Edwards,Edwards,15,488,2833,3366,,,,,,,,,,,,,,,,,,,,,
Effingham,Effingham,15,3716,15006,19049,,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,15,1826,8055,10053,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,12,4760,13622,18626,,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,17,6503,9867,16678,,,,,,,,,,,,,,,,,,,,,
Gallatin,Gallatin,15,622,2019,2674,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,13,1349,4770,6227,,,,,,,,,,,,,,,,,,,,,
Grundy,Grundy,16,9626,16523,26690,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,15,824,3432,4315,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,18,2315,6906,9383,,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,15,449,1691,2162,,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,17,1187,2394,3647,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,17,9797,15300,25635,,,,,,,,,,,,,,,,,,,,,
Iroquois,Iroquois,16,2908,10877,14024,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,12,11181,10890,22643,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,15,1007,4494,5576,,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,12,4608,12476,17404,,,,,,,,,,,,,,,,,,,,,
Jersey,Jersey,13,2961,8712,11937,,,,,,,,,,,,,,,,,,,,,
Jo Daviess,JoDaviess,17,5109,7166,12495,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,15,1281,5059,6437,,,,,,,,,,,,,,,,,,,,,
Kankakee,Kankakee,2,20271,28532,49902,,,,,,,,,,,,,,,,,,,,,
Knox,Knox,17,10703,12009,23143,,,,,,,,,,,,,,,,,,,,,
LaSalle,LaSalle,16,22442,30113,53590,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,15,1419,4886,6411,,,,,,,,,,,,,,,,,,,,,
Lee,Lee,16,6407,9630,16397,,,,,,,,,,,,,,,,,,,,,
Livingston,Livingston,16,4615,12208,17174,,,,,,,,,,,,,,,,,,,,,
Logan,Logan,18,3840,9136,13294,,,,,,,,,,,,,,,,,,,,,
Macon,Macon,13,19847,28589,49387,,,,,,,,,,,,,,,,,,,,,
Macoupin,Macoupin,13,7365,16153,24022,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,15,4524,12678,17458,,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,18,2005,4197,6334,,,,,,,,,,,,,,,,,,,,,
Mason,Mason,18,1985,4654,6766,,,,,,,,,,,,,,,,,,,,,
Massac,Massac,15,1725,4997,6813,,,,,,,,,,,,,,,,,,,,,
McDonough,McDonough,18,4992,7027,12285,,,,,,,,,,,,,,,,,,,,,
Menard,Menard,18,2022,4764,6928,,,,,,,,,,,,,,,,,,,,,
Mercer,Mercer,17,3280,5418,8893,,,,,,,,,,,,,,,,,,,,,
Monroe,Monroe,12,6569,14142,21148,,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,13,3905,9544,13727,,,,,,,,,,,,,,,,,,,,,
Morgan,Morgan,18,5076,9950,15309,,,,,,,,,,,,,,,,,,,,,
Moultrie,Moultrie,15,1662,4964,6744,,,,,,,,,,,,,,,,,,,,,
Ogle,Ogle,16,9428,16248,26272,,,,,,,,,,,,,,,,,,,,,
Perry,Perry,12,2612,7313,10053,,,,,,,,,,,,,,,,,,,,,
Piatt,Piatt,13,3329,6248,9822,,,,,,,,,,,,,,,,,,,,,
Pike,Pike,18,1484,6332,7949,,,,,,,,,,,,,,,,,,,,,
Pope,Pope,15,433,1722,2175,,,,,,,,,,,,,,,,,,,,,
Pulaski,Pulaski,12,891,1699,2624,,,,,,,,,,,,,,,,,,,,,
Putnam,Putnam,16,1338,1993,3390,,,,,,,,,,,,,,,,,,,,,
Randolph,Randolph,12,3592,11076,14891,,,,,,,,,,,,,,,,,,,,,
Richland,Richland,15,1830,6089,8063,,,,,,,,,,,,,,,,,,,,,
Rock Island,RockIsland,17,36691,28603,66758,,,,,,,,,,,,,,,,,,,,,
Saline,Saline,15,2789,8103,11066,,,,,,,,,,,,,,,,,,,,,
Schuyler,Schuyler,18,1068,2773,3906,,,,,,,,,,,,,,,,,,,,,
Scott,Scott,18,572,2114,2737,,,,,,,,,,,,,,,,,,,,,
Shelby,Shelby,15,2504,9426,12096,,,,,,,,,,,,,,,,,,,,,
St. Clair,StClair,12,68325,57150,128090,,,,,,,,,,,,,,,,,,,,,
Stephenson,Stephenson,17,9055,12521,22047,,,,,,,,,,,,,,,,,,,,,
Union,Union,12,2579,6161,8886,,,,,,,,,,,,,,,,,,,,,
Vermilion,Vermilion,15,10323,20725,31584,,,,,,,,,,,,,,,,,,,,,
Wabash,Wabash,15,1253,4237,5593,,,,,,,,,,,,,,,,,,,,,
Warren,Warren,17,3090,4676,7909,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,15,1641,6115,7902,,,,,,,,,,,,,,,,,,,,,
Wayne,Wayne,15,1187,7176,8486,,,,,,,,,,,,,,,,,,,,,
White,White,15,1517,5791,7421,,,,,,,,,,,,,,,,,,,,,
Whiteside,Whiteside,17,12253,14527,27375,,,,,,,,,,,,,,,,,,,,,
Williamson,Williamson,12,10206,22801,33652,,,,,,,,,,,,,,,,,,,,,
Woodford,Woodford,18,6160,14799,21432,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Bond (pt.),Bond,13,610,1648,2307,49,,,,,,,,,,,,,,,,,,,,
Bond (pt.),Bond,15,1678,3977,5837,182,,,,,,,,,,,,,,,,,,,,
Champaign (pt.),Champaign,13,48155,19144,69344,"2,046",,,,,,,,,,,,,,,,,,,,
Champaign (pt.),Champaign,15,8912,16141,25708,654,,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,1,162807,8325,173110,"1,978",,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,2,64744,5499,71067,824,,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,3,59071,32201,92838,"1,566",,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,4,139538,23932,166819,"3,349",,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,5,217756,58827,281879,"5,296",,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,7,202781,28548,234998,"3,669",,,,,,,,,,,,,,,,,,,,
Cook - Chicago (pt.),CookChicago,9,98038,23902,124030,"2,090",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,1,59480,40133,101233,"1,620",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,2,137202,19695,158588,"1,691",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,3,95416,80020,178299,"2,863",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,4,45097,15650,61883,"1,135",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,5,29618,22634,53066,814,,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,6,29990,21695,52733,"1,047",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,7,71521,9893,82706,"1,292",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,8,89859,56896,149418,"2,663",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,9,171535,80189,255912,"4,188",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,10,50262,28759,80053,"1,032",,,,,,,,,,,,,,,,,,,,
Cook - Suburban (pt.),CookSuburbs,11,1257,1471,2767,39,,,,,,,,,,,,,,,,,,,,
DeKalb (pt.),DeKalb,14,9221,9946,19627,459,,,,,,,,,,,,,,,,,,,,
DeKalb (pt.),DeKalb,16,15422,11959,28192,812,,,,,,,,,,,,,,,,,,,,
DuPage (pt.),DuPage,3,425,324,764,15,,,,,,,,,,,,,,,,,,,,
DuPage (pt.),DuPage,5,20266,15169,36189,753,,,,,,,,,,,,,,,,,,,,
DuPage (pt.),DuPage,6,121150,85727,211592,"4,714",,,,,,,,,,,,,,,,,,,,
DuPage (pt.),DuPage,8,64533,48115,114863,"2,215",,,,,,,,,,,,,,,,,,,,
DuPage (pt.),DuPage,11,69415,41126,112826,"2,285",,,,,,,,,,,,,,,,,,,,
DuPage (pt.),DuPage,14,5433,3149,8830,248,,,,,,,,,,,,,,,,,,,,
Ford (pt.),Ford,15,751,2269,3094,75,,,,,,,,,,,,,,,,,,,,
Ford (pt.),Ford,16,1003,2779,3859,76,,,,,,,,,,,,,,,,,,,,
Kane (pt.),Kane,6,31699,28575,61502,"1,228",,,,,,,,,,,,,,,,,,,,
Kane (pt.),Kane,8,17458,8146,26176,572,,,,,,,,,,,,,,,,,,,,
Kane (pt.),Kane,11,26628,10806,38278,844,,,,,,,,,,,,,,,,,,,,
Kane (pt.),Kane,14,54381,49247,105907,"2,278",,,,,,,,,,,,,,,,,,,,
Kendall (pt.),Kendall,11,11196,7160,18756,400,,,,,,,,,,,,,,,,,,,,
Kendall (pt.),Kendall,14,21972,22332,45215,911,,,,,,,,,,,,,,,,,,,,
Lake (pt.),Lake,6,19029,17040,36790,721,,,,,,,,,,,,,,,,,,,,
Lake (pt.),Lake,10,157118,80975,242738,"4,645",,,,,,,,,,,,,,,,,,,,
Lake (pt.),Lake,14,27885,25579,54628,"1,164",,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,12,21474,25995,48568,"1,099",,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,13,25292,29260,55934,"1,383",,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,15,11070,20776,32633,786,,,,,,,,,,,,,,,,,,,,
McHenry (pt.),McHenry,6,24936,21795,47781,"1,050",,,,,,,,,,,,,,,,,,,,
McHenry (pt.),McHenry,14,53218,60465,116093,"2,410",,,,,,,,,,,,,,,,,,,,
