County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adams,Adams,3,3236,10686,14209,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Allen,Allen,3,73189,92083,169000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bartholomew,Bartholomew,6,12934,22410,36216,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Benton,Benton,4,1009,3007,4108,,,,,,,,,,,,,,,,,,,,,
Brown,Brown,9,3036,5777,8981,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,4,2224,7086,9495,,,,,,,,,,,,,,,,,,,,,
Cass,Cass,4,4304,10552,15189,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,9,23093,33668,57869,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,8,2552,9499,12259,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,4,3361,9334,12941,,,,,,,,,,,,,,,,,,,,,
Daviess,Daviess,8,2169,9576,11949,,,,,,,,,,,,,,,,,,,,,
Dearborn,Dearborn,6,5446,19528,25361,,,,,,,,,,,,,,,,,,,,,
Decatur,Decatur,6,2439,9575,12287,,,,,,,,,,,,,,,,,,,,,
DeKalb,DeKalb,3,4966,14237,19628,,,,,,,,,,,,,,,,,,,,,
Delaware,Delaware,6,20474,26827,48191,,,,,,,,,,,,,,,,,,,,,
Dubois,Dubois,8,6292,15033,21757,,,,,,,,,,,,,,,,,,,,,
Elkhart,Elkhart,2,26108,46972,74321,,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,6,2237,7755,10136,,,,,,,,,,,,,,,,,,,,,
Floyd,Floyd,9,17511,23400,41761,,,,,,,,,,,,,,,,,,,,,
Fountain,Fountain,4,1629,6154,7983,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,6,2137,9691,11997,,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,2,2280,6694,9144,,,,,,,,,,,,,,,,,,,,,
Gibson,Gibson,8,4023,11817,16161,,,,,,,,,,,,,,,,,,,,,
Grant,Grant,5,8015,18543,27142,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,8,3389,11103,14782,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,5,88390,101587,193871,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,6,12895,28996,42907,,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,9,5343,14565,20231,,,,,,,,,,,,,,,,,,,,,
Hendricks,Hendricks,4,32604,53802,88458,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,6,5544,15043,21021,,,,,,,,,,,,,,,,,,,,,
Huntington,Huntington,3,4255,13147,17810,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,9,4302,14555,19238,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,4,3798,11383,15469,,,,,,,,,,,,,,,,,,,,,
Jay,Jay,3,1926,6361,8456,,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,6,4731,9663,14690,,,,,,,,,,,,,,,,,,,,,
Jennings,Jennings,6,2523,9490,12251,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,9,24736,51219,77573,,,,,,,,,,,,,,,,,,,,,
Knox,Knox,8,4067,11655,16004,,,,,,,,,,,,,,,,,,,,,
LaGrange,LaGrange,3,2355,8110,10633,,,,,,,,,,,,,,,,,,,,,
Lake,Lake,1,124870,91760,219842,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,9,4961,15601,21025,,,,,,,,,,,,,,,,,,,,,
Madison,Madison,5,19524,31215,51765,,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,2,5712,13844,19918,,,,,,,,,,,,,,,,,,,,,
Martin,Martin,8,1011,4029,5144,,,,,,,,,,,,,,,,,,,,,
Miami,Miami,2,3235,10925,14466,,,,,,,,,,,,,,,,,,,,,
Monroe,Monroe,9,39861,22071,63037,,,,,,,,,,,,,,,,,,,,,
