County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,
Allen,Allen,2,1570,4218,5892,,,,,,,,,,,,,,,,,,,0,#REF!
Anderson,Anderson,2,782,2929,3792,,,,,,,,,,,,,,,,,,,#REF!,#REF!
Atchison,Atchison,2,2359,4906,7440,,,,,,,,,,,,,,,,,,,#REF!,#REF!
Barber,Barber,4,291,2014,2342,,,,,,,,,,,,,,,,,,,,
Barton,Barton,1,2340,8608,11130,,,,,,,,,,,,,,,,,,,,
Bourbon,Bourbon,2,1541,5023,6676,,,,,,,,,,,,,,,,,,,,
Brown,Brown,2,1104,3262,4471,,,,,,,,,,,,,,,,,,,,
Butler,Butler,4,9181,22634,32520,,,,,,,,,,,,,,,,,,,,
Chase,Chase,1,345,1123,1491,,,,,,,,,,,,,,,,,,,,
Chautauqua,Chautauqua,4,212,1402,1639,,,,,,,,,,,,,,,,,,,,
Cherokee,Cherokee,2,2194,6766,9128,,,,,,,,,,,,,,,,,,,,
Cheyenne,Cheyenne,1,224,1183,1429,,,,,,,,,,,,,,,,,,,,
Clark,Clark,1,143,904,1067,,,,,,,,,,,,,,,,,,,,
Clay,Clay,1,894,3177,4182,,,,,,,,,,,,,,,,,,,,
Cloud,Cloud,1,920,3242,4263,,,,,,,,,,,,,,,,,,,,
Coffey,Coffey,2,964,3489,4565,,,,,,,,,,,,,,,,,,,,
Comanche,Comanche,4,126,762,916,,,,,,,,,,,,,,,,,,,,
Cowley,Cowley,4,4273,9656,14231,,,,,,,,,,,,,,,,,,,,
Crawford,Crawford,2,6179,10045,16645,,,,,,,,,,,,,,,,,,,,
Decatur,Decatur,1,218,1260,1498,,,,,,,,,,,,,,,,,,,,
Dickinson,Dickinson,1,2060,7126,9349,,,,,,,,,,,,,,,,,,,,
Doniphan,Doniphan,2,686,2976,3709,,,,,,,,,,,,,,,,,,,,
Douglas,Douglas,2,40785,17286,59495,,,,,,,,,,,,,,,,,,,,
Edwards,Edwards,4,271,1141,1431,,,,,,,,,,,,,,,,,,,,
Elk,Elk,4,195,1140,1361,,,,,,,,,,,,,,,,,,,,
Ellis,Ellis,1,3737,9758,13800,,,,,,,,,,,,,,,,,,,,
Ellsworth,Ellsworth,1,648,2148,2853,,,,,,,,,,,,,,,,,,,,
Finney,Finney,1,4325,7236,11800,,,,,,,,,,,,,,,,,,,,
Ford,Ford,1,2947,5803,8915,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,2,3690,8479,12477,,,,,,,,,,,,,,,,,,,,
Geary,Geary,1,3983,5323,9603,,,,,,,,,,,,,,,,,,,,
Gove,Gove,1,166,1291,1471,,,,,,,,,,,,,,,,,,,,
Graham,Graham,1,228,1080,1337,,,,,,,,,,,,,,,,,,,,
Grant,Grant,1,518,1936,2501,,,,,,,,,,,,,,,,,,,,
Gray,Gray,1,341,1911,2288,,,,,,,,,,,,,,,,,,,,
Greeley,Greeley,1,78,549,641,,,,,,,,,,,,,,,,,,,,
Greenwood,Greenwood,4,569,2444,3077,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,1,141,698,859,,,,,,,,,,,,,,,,,,,,
Harper,Harper,4,461,2168,2678,,,,,,,,,,,,,,,,,,,,
Harvey,Harvey,4,6747,10182,17309,,,,,,,,,,,,,,,,,,,,
Haskell,Haskell,1,268,1122,1410,,,,,,,,,,,,,,,,,,,,
Hodgeman,Hodgeman,1,154,875,1045,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,2,1881,4517,6584,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,2,3194,6334,9782,,,,,,,,,,,,,,,,,,,,
Jewell,Jewell,1,212,1387,1628,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,3,184259,155631,347214,,,,,,,,,,,,,,,,,,,,
Kearny,Kearny,1,267,1164,1455,,,,,,,,,,,,,,,,,,,,
Kingman,Kingman,4,752,3130,3949,,,,,,,,,,,,,,,,,,,,
Kiowa,Kiowa,4,156,980,1165,,,,,,,,,,,,,,,,,,,,
Labette,Labette,2,2655,5735,8563,,,,,,,,,,,,,,,,,,,,
Lane,Lane,1,115,762,895,,,,,,,,,,,,,,,,,,,,
Leavenworth,Leavenworth,2,13886,21610,36490,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,1,266,1283,1579,,,,,,,,,,,,,,,,,,,,
Linn,Linn,2,896,4048,5046,,,,,,,,,,,,,,,,,,,,
Logan,Logan,1,186,1249,1458,,,,,,,,,,,,,,,,,,,,
Lyon,Lyon,1,6055,7550,13988,,,,,,,,,,,,,,,,,,,,
Marion,Marion,1,1516,4465,6111,,,,,,,,,,,,,,,,,,,,
McPherson,McPherson,1,4134,9964,14438,,,,,,,,,,,,,,,,,,,,
Meade,Meade,1,263,1523,1825,,,,,,,,,,,,,,,,,,,,
Mitchell,Mitchell,1,558,2504,3101,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,2,3228,9931,13426,,,,,,,,,,,,,,,,,,,,
Morris,Morris,1,729,2124,2899,,,,,,,,,,,,,,,,,,,,
Morton,Morton,1,150,1034,1198,,,,,,,,,,,,,,,,,,,,
Nemaha,Nemaha,2,927,4664,5684,,,,,,,,,,,,,,,,,,,,
Neosho,Neosho,2,1796,4970,6877,,,,,,,,,,,,,,,,,,,,
Ness,Ness,1,149,1339,1513,,,,,,,,,,,,,,,,,,,,
Norton,Norton,1,364,2007,2415,,,,,,,,,,,,,,,,,,,,
Osage,Osage,2,2136,5705,8035,,,,,,,,,,,,,,,,,,,,
Osborne,Osborne,1,281,1629,1945,,,,,,,,,,,,,,,,,,,,
