County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adair,Adair,1,"1,392","7,276","8,763",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Allen,Allen,1,"1,642","7,587","9,364",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Anderson,Anderson,6,"3,348","9,661","13,246",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Ballard,Ballard,1,825,"3,356",4225,,,,,,,,,,,,,,,,,,,,,
Barren,Barren,2,"5,127","14,654","20,055",,,,,,,,,,,,,,,,,,,,,
Bath,Bath,6,"1,573","3,986","5,627",,,,,,,,,,,,,,,,,,,,,
Bell,Bell,5,"1,789","8,140","10,044",,,,,,,,,,,,,,,,,,,,,
Boone,Boone,4,"20,901","44,814","66,960",,,,,,,,,,,,,,,,,,,,,
Bourbon,Bourbon,6,"3,296","6,190","9,643",,,,,,,,,,,,,,,,,,,,,
Boyle,Boyle,2,"5,298","8,872","14,467",,,,,,,,,,,,,,,,,,,,,
Bracken,Bracken,4,800,"3,398",4244,,,,,,,,,,,,,,,,,,,,,
Breathitt,Breathitt,5,"1,301","4,265","5,661",,,,,,,,,,,,,,,,,,,,,
Breckinridge,Breckinridge,2,"2,350","7,701","10,197",,,,,,,,,,,,,,,,,,,,,
Bullitt,Bullitt,2,"10,552","30,708","41,965",,,,,,,,,,,,,,,,,,,,,
Butler,Butler,2,1079,"4,960",6122,,,,,,,,,,,,,,,,,,,,,
Caldwell,Caldwell,1,"1,433","4,906","6,428",,,,,,,,,,,,,,,,,,,,,
Calloway,Calloway,1,"5,797","11,352","17,447",,,,,,,,,,,,,,,,,,,,,
Campbell,Campbell,4,"19,374","28,482","48,834",,,,,,,,,,,,,,,,,,,,,
Carlisle,Carlisle,1,463,"2,159",2638,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,4,"1,116","2,954","4,135",,,,,,,,,,,,,,,,,,,,,
Carter,Carter,5,"2,642","8,775","11,585",,,,,,,,,,,,,,,,,,,,,
Casey,Casey,1,918,"6,179",7171,,,,,,,,,,,,,,,,,,,,,
Christian,Christian,1,"8,296","15,080","23,863",,,,,,,,,,,,,,,,,,,,,
Clark,Clark,6,"6,004","11,811","18,128",,,,,,,,,,,,,,,,,,,,,
Clay,Clay,5,831,"6,677",7590,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,1,603,"4,280",4932,,,,,,,,,,,,,,,,,,,,,
Crittenden,Crittenden,1,731,"3,451",4242,,,,,,,,,,,,,,,,,,,,,
Cumberland,Cumberland,1,508,"2,769",3309,,,,,,,,,,,,,,,,,,,,,
Daviess,Daviess,2,"17,286","31,025","49,245",,,,,,,,,,,,,,,,,,,,,
Edmonson,Edmonson,2,1227,"4,828",6131,,,,,,,,,,,,,,,,,,,,,
Elliott,Elliott,5,712,"2,246",2995,,,,,,,,,,,,,,,,,,,,,
Estill,Estill,6,"1,355","5,100","6,538",,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,6,"90,600","58,860","152,714",,,,,,,,,,,,,,,,,,,,,
Fleming,Fleming,6,"1,474","5,534","7,066",,,,,,,,,,,,,,,,,,,,,
Floyd,Floyd,5,"3,884","12,250","16,351",,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,6,"12,652","12,900","26,061",,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,1,794,"1,606",2425,,,,,,,,,,,,,,,,,,,,,
Gallatin,Gallatin,4,822,"2,955",3849,,,,,,,,,,,,,,,,,,,,,
Garrard,Garrard,2,"1,830","6,754","8,703",,,,,,,,,,,,,,,,,,,,,
Grant,Grant,4,"2,205","8,725","11,106",,,,,,,,,,,,,,,,,,,,,
Graves,Graves,1,"3,560","13,206","17,019",,,,,,,,,,,,,,,,,,,,,
Grayson,Grayson,2,"2,400","9,453","11,983",,,,,,,,,,,,,,,,,,,,,
Green,Green,2,920,"4,838",5812,,,,,,,,,,,,,,,,,,,,,
Greenup,Greenup,4,"4,873","13,064","18,176",,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,2,"1,351","3,145","4,587",,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,2,"18,101","29,832","48,941",,,,,,,,,,,,,,,,,,,,,
Harlan,Harlan,5,"1,494","9,367","10,971",,,,,,,,,,,,,,,,,,,,,
Hart,Hart,2,"1,908","6,345","8,369",,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,1,"7,639","12,730","20,688",,,,,,,,,,,,,,,,,,,,,
Henry,Henry,4,"2,142","5,843","8,107",,,,,,,,,,,,,,,,,,,,,
Hickman,Hickman,1,458,"1,714",2199,,,,,,,,,,,,,,,,,,,,,
Hopkins,Hopkins,1,"5,439","15,757","21,509",,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,5,605,"5,453",6113,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,5,"1,608","8,450","10,192",,,,,,,,,,,,,,,,,,,,,
Kenton,Kenton,4,"32,271","48,129","82,120",,,,,,,,,,,,,,,,,,,,,
Knott,Knott,5,"1,412","4,780","6,252",,,,,,,,,,,,,,,,,,,,,
Knox,Knox,5,"2,114","11,012","13,273",,,,,,,,,,,,,,,,,,,,,
Larue,Larue,2,"1,504","5,685","7,301",,,,,,,,,,,,,,,,,,,,,
Laurel,Laurel,5,"4,475","23,237","28,101",,,,,,,,,,,,,,,,,,,,,
