Parish,ShortName,CD,Biden,Trump,Total,
Acadia,Acadia,3,5443,22596,28425,
Allen,Allen,4,2108,7574,9810,
Avoyelles,Avoyelles,5,4979,12028,17292,
Beauregard,Beauregard,4,2542,13575,16357,
Bienville,Bienville,4,3067,3891,7050,
Bossier,Bossier,4,15662,38074,54655,
Caddo,Caddo,4,55110,48021,104912,
Calcasieu,Calcasieu,3,25982,55066,82663,
Caldwell,Caldwell,5,745,3976,4762,
Cameron,Cameron,3,324,3671,4039,
Catahoula,Catahoula,5,1269,3541,4858,
Claiborne,Claiborne,4,2731,3770,6580,
Concordia,Concordia,5,3177,5550,8828,
De Soto,DeSoto,4,5457,9112,14736,
East Carroll,EastCarroll,5,1900,1080,3036,
Evangeline,Evangeline,4,4158,11053,15412,
Franklin,Franklin,5,2658,6970,9720,
Grant,Grant,5,1157,8117,9392,
Iberia,Iberia,3,11027,21251,32713,
Jackson,Jackson,5,2143,5394,7632,
Jefferson Davis,JeffersonDavis,3,3208,11423,14841,
Lafayette,Lafayette,3,39685,72519,114521,
LaSalle,Lasalle,5,638,6378,7077,
Lincoln,Lincoln,5,7559,11311,19275,
Livingston,Livingston,6,9249,54877,65230,
Madison,Madison,5,2654,1930,4670,
Morehouse,Morehouse,5,4946,6510,11574,
Natchitoches,Natchitoches,4,6896,9358,16554,
Ouachita,Ouachita,5,25913,42255,69166,
Plaquemines,Plaquemines,1,3414,7412,11014,
Pointe Coupee,PointeCoupee,6,4683,7503,12371,
Rapides,Rapides,5,19475,38347,58865,
Red River,RedRiver,4,1644,2413,4132,
Richland,Richland,5,3225,6607,9940,
Sabine,Sabine,4,1731,8776,10596,
St. Bernard,StBernard,1,6151,11179,17650,
St. James,StJames,2,6510,5954,12590,
St. Martin,StMartin,3,8439,18203,27038,
St. Mary,StMary,3,8055,14811,23186,
St. Tammany,StTammany,1,37746,99666,140110,
Tensas,Tensas,5,1329,1197,2554,
Union,Union,4,2654,8407,11201,
Vermilion,Vermilion,3,5009,21930,27324,
Vernon,Vernon,4,2898,14107,17268,
Washington,Washington,5,5970,13307,19513,
Webster,Webster,4,6172,11830,18216,
West Carroll,WestCarroll,5,710,4317,5052,
West Feliciana,WestFeliciana,5,2298,3863,6268,
Winn,Winn,5,1543,4619,6225,
,,,,,,
,Split Counties,,,,,
Ascension (pt.),Ascension,2,"7,330","2,374","9,912",209
Ascension (pt.),Ascension,6,"13,069","38,313","52,413","1,030"
Assumption (pt.),Assumption,2,"2,238","1,417","3,707",52
Assumption (pt.),Assumption,6,"1,595","5,854","7,528",79
East Baton Rouge (pt.),EastBatonRouge,2,"35,049","1,931","37,607",627
East Baton Rouge (pt.),EastBatonRouge,6,"80,528","86,489","170,575","3,558"
East Feliciana (pt.),EastFeliciana,5,"2,780","2,421","5,290",88
East Feliciana (pt.),EastFeliciana,6,"1,500","3,643","5,219",77
Iberville (pt.),Iberville,2,"6,692","4,090","11,026",244
Iberville (pt.),Iberville,6,"1,822","3,803","5,693",68
Jefferson (pt.),Jefferson,1,"36,550","76,115","114,779","2,114"
Jefferson (pt.),Jefferson,2,"47,927","29,834","78,954","1,193"
Lafourche (pt.),Lafourche,1,"2,084","17,507","19,855",264
Lafourche (pt.),Lafourche,6,"6,588","18,517","25,533",428
Orleans (pt.),Orleans,1,"14,462","10,715","25,816",639
Orleans (pt.),Orleans,2,"133,392","15,949","152,003","2,662"
St. Charles (pt.),StCharles,2,"6,851","10,983","18,122",287
St. Charles (pt.),StCharles,6,"2,949","7,250","10,395",197
St. Helena (pt.),StHelena,5,488,"1,087","1,599",24
St. Helena (pt.),StHelena,6,"2,858","1,627","4,559",74
St. John The Baptist (pt.),StJohnTheBaptist,2,"10,826","4,256","15,325",243
St. John The Baptist (pt.),StJohnTheBaptist,6,"2,756","3,282","6,107",69
St. Landry (pt.),StLandry,3,276,"1,268","1,566",22
St. Landry (pt.),StLandry,4,"8,670","11,862","20,825",293
St. Landry (pt.),StLandry,5,"8,426","10,040","18,763",296
Tangipahoa (pt.),Tangipahoa,1,"11,188","23,587","35,423",648
Tangipahoa (pt.),Tangipahoa,5,"7,699","14,219","22,238",320
Terrebonne (pt.),Terrebonne,1,"6,675","20,747","27,842",420
Terrebonne (pt.),Terrebonne,6,"4,523","13,592","18,398",283
West Baton Rouge (pt.),WestBatonRouge,2,"3,772","2,782","6,654",100
West Baton Rouge (pt.),WestBatonRouge,6,"2,428","4,902","7,443",113
,,,,,,
,Split E/A/P Votes,,,,,
Ascension (pt.),Ascension,2,0,0,0,0
Ascension (pt.),Ascension,6,0,0,0,0
Assumption (pt.),Assumption,2,0,0,0,0
Assumption (pt.),Assumption,6,0,0,0,0
East Baton Rouge (pt.),EastBatonRouge,2,0,0,0,0
East Baton Rouge (pt.),EastBatonRouge,6,0,0,0,0
East Feliciana (pt.),EastFeliciana,5,0,0,0,0
East Feliciana (pt.),EastFeliciana,6,0,0,0,0
Iberville (pt.),Iberville,2,0,0,0,0
Iberville (pt.),Iberville,6,0,0,0,0
Jefferson (pt.),Jefferson,1,0,0,0,0
Jefferson (pt.),Jefferson,2,0,0,0,0
Lafourche (pt.),Lafourche,1,0,0,0,0
Lafourche (pt.),Lafourche,6,0,0,0,0
Orleans (pt.),Orleans,1,0,0,0,0
Orleans (pt.),Orleans,2,0,0,0,0
St. Charles (pt.),StCharles,2,0,0,0,0
St. Charles (pt.),StCharles,6,0,0,0,0
St. Helena (pt.),StHelena,5,0,0,0,0
St. Helena (pt.),StHelena,6,0,0,0,0
St. John The Baptist (pt.),StJohnTheBaptist,2,0,0,0,0
St. John The Baptist (pt.),StJohnTheBaptist,6,0,0,0,0
St. Landry (pt.),StLandry,3,0,0,0,0
St. Landry (pt.),StLandry,4,0,0,0,0
St. Landry (pt.),StLandry,5,0,0,0,0
Tangipahoa (pt.),Tangipahoa,1,0,0,0,0
Tangipahoa (pt.),Tangipahoa,5,0,0,0,0
Terrebonne (pt.),Terrebonne,1,0,0,0,0
Terrebonne (pt.),Terrebonne,6,0,0,0,0
West Baton Rouge (pt.),WestBatonRouge,2,0,0,0,0
West Baton Rouge (pt.),WestBatonRouge,6,0,0,0,0
,,,,,,
Total E/A/P Votes,,,,,,
Ascension (pt.),Ascension,EV,0,0,0,0
Assumption (pt.),Assumption,EV,0,0,0,0
East Baton Rouge (pt.),EastBatonRouge,EV,0,0,0,0
East Feliciana (pt.),EastFeliciana,EV,0,0,0,0
Iberville (pt.),Iberville,EV,0,0,0,0
Jefferson (pt.),Jefferson,EV,0,0,0,0
Lafourche (pt.),Lafourche,EV,0,0,0,0
Orleans (pt.),Orleans,EV,0,0,0,0
St. Charles (pt.),StCharles,EV,0,0,0,0
St. Helena (pt.),StHelena,EV,0,0,0,0
St. John The Baptist (pt.),StJohnTheBaptist,EV,0,0,0,0
St. Landry (pt.),StLandry,EV,0,0,0,0
Tangipahoa (pt.),Tangipahoa,EV,0,0,0,0
Terrebonne (pt.),Terrebonne,EV,0,0,0,0
West Baton Rouge (pt.),WestBatonRouge,EV,0,0,0,0
