County,ShortName,CD,Biden,Trump,Total
Androscoggin,Androscoggin,2,27918,29336,59091
Arookstook,Arookstook,2,14108,21129,35951
Cumberland ,Cumberland ,1,130118,59722,195305
Franklin,Franklin,2,8157,8774,17505
Hancock,Hancock,2,19580,15017,35578
Knox,Knox,1,15269,10005,25920
Lincoln,Lincoln,1,12818,10280,23760
Oxford,Oxford,2,14916,17739,33705
Penobscot,Penobscot,2,38124,44930,85809
Piscataquis,Piscataquis,2,3555,6157,9960
Sagadahoc,Sagadahoc,1,13671,9778,24211
Somerset,Somerset,2,10310,16683,27729
Waldo,Waldo,2,12479,11222,24490
Washington,Washington,2,6835,10218,17454
York,York,1,71940,54944,130578
,,,,,
,Split Counties,,,,
Kennebec (pt.),Kennebec,1,22560,19316,43295
Kennebec (pt.),Kennebec,2,12715,15486,29035
