County,CD,Election District,Election Precinct,Biden,Trump,Total
Allegany,6,1,0,76,417,501
Allegany,6,2,0,81,429,515
Allegany,6,3,0,80,460,544
Allegany,6,4,2,133,210,354
Allegany,6,4,3,238,375,628
Allegany,6,4,4,374,563,948
Allegany,6,4,5,147,303,453
Allegany,6,4,8,275,512,806
Allegany,6,5,4,275,415,697
Allegany,6,5,6,72,281,359
Allegany,6,6,1,439,375,829
Allegany,6,6,3,169,228,402
Allegany,6,6,5,333,369,721
Allegany,6,6,6,262,657,933
Allegany,6,7,1,292,769,1080
Allegany,6,7,2,330,832,1179
Allegany,6,8,0,254,997,1267
Allegany,6,9,0,82,437,525
Allegany,6,10,0,129,696,837
Allegany,6,11,0,286,327,619
Allegany,6,12,0,559,881,1481
Allegany,6,13,0,165,784,962
Allegany,6,14,0,130,134,272
Allegany,6,16,0,187,878,1075
Allegany,6,18,0,150,851,1011
Allegany,6,20,0,168,818,998
Allegany,6,21,0,111,514,632
Allegany,6,22,1,336,621,977
Allegany,6,22,2,20,69,89
Allegany,6,23,0,408,695,1125
Allegany,6,24,0,191,652,852
Allegany,6,26,0,921,745,1694
Allegany,6,29,1,428,913,1358
Allegany,6,29,2,413,745,1174
Allegany,6,29,3,280,580,870
Allegany,6,31,0,138,615,760
Allegany,6,34,0,226,739,984
Anne Arundel (pt.),3,1,1,737,893,1662
Anne Arundel (pt.),3,1,2,655,717,1404
Anne Arundel (pt.),3,1,3,590,822,1447
Anne Arundel (pt.),2,1,4,911,595,1539
Anne Arundel (pt.),2,1,5,864,401,1288
Anne Arundel (pt.),2,1,6,1371,475,1889
Anne Arundel (pt.),2,1,7,406,629,1073
Anne Arundel (pt.),3,1,8,609,936,1585
Anne Arundel (pt.),3,1,9,521,880,1441
Anne Arundel (pt.),2,1,10,491,573,1088
Anne Arundel (pt.),2,1,11,374,505,901
Anne Arundel (pt.),2,1,12,1358,390,1779
Anne Arundel (pt.),2,1,13,313,307,633
Anne Arundel (pt.),3,1,14,571,710,1314
Anne Arundel (pt.),2,1,15,666,648,1346
Anne Arundel (pt.),2,1,16,543,571,1140
Anne Arundel (pt.),2,1,17,470,429,908
Anne Arundel (pt.),2,1,18,1218,699,1956
Anne Arundel (pt.),2,1,19,1312,421,1773
Anne Arundel (pt.),2,1,20,1276,517,1835
Anne Arundel (pt.),2,1,21,1554,257,1846
Anne Arundel (pt.),2,1,22,3463,997,4554
Anne Arundel (pt.),2,1,23,1227,320,1577
Anne Arundel (pt.),2,1,24,863,285,1169
Anne Arundel (pt.),2,1,25,577,466,1067
Anne Arundel (pt.),2,1,26,1998,345,2384
Anne Arundel (pt.),3,2,1,746,612,1397
Anne Arundel (pt.),4,2,2,733,506,1259
Anne Arundel (pt.),3,2,3,593,602,1227
Anne Arundel (pt.),3,2,4,1152,813,1997
Anne Arundel (pt.),3,2,5,873,560,1463
Anne Arundel (pt.),3,2,6,563,566,1157
Anne Arundel (pt.),3,2,7,1125,865,2030
Anne Arundel (pt.),3,2,8,761,929,1726
Anne Arundel (pt.),3,2,9,995,496,1532
Anne Arundel (pt.),3,2,10,626,939,1597
Anne Arundel (pt.),3,2,11,417,491,930
Anne Arundel (pt.),3,2,12,452,607,1080
Anne Arundel (pt.),4,2,13,722,691,1452
Anne Arundel (pt.),3,2,14,1461,371,1873
Anne Arundel (pt.),3,2,15,1154,480,1679
Anne Arundel (pt.),3,2,16,424,507,953
Anne Arundel (pt.),3,2,17,1303,405,1739
Anne Arundel (pt.),4,2,18,792,341,1165
Anne Arundel (pt.),3,2,19,981,499,1508
Anne Arundel (pt.),4,2,20,943,700,1677
Anne Arundel (pt.),4,2,21,1248,1242,2549
