County,Town (Standard Name),Town (Results Name),Ward,Precinct,CD,Biden,Trump,Total
Plymouth (pt.),Abington,Abington,-,1,8,"1,037",764,"1,836"
Plymouth (pt.),Abington,Abington,-,2,8,960,838,"1,837"
Plymouth (pt.),Abington,Abington,-,3,8,954,848,"1,841"
Plymouth (pt.),Abington,Abington,-,4,8,"1,117",904,"2,056"
Plymouth (pt.),Abington,Abington,-,5,8,"1,141",882,"2,066"
Middlesex (pt.),Acton,Acton,-,1,3,"1,761",447,"2,243"
Middlesex (pt.),Acton,Acton,-,2,3,"1,912",441,"2,396"
Middlesex (pt.),Acton,Acton,-,3,3,"1,834",388,"2,271"
Middlesex (pt.),Acton,Acton,-,4,3,"2,051",416,"2,516"
Middlesex (pt.),Acton,Acton,-,5,3,"1,897",396,"2,352"
Middlesex (pt.),Acton,Acton,-,6,3,"1,650",383,"2,065"
Bristol (pt.),Acushnet,Acushnet,-,1,9,815,924,"1,774"
Bristol (pt.),Acushnet,Acushnet,-,2,9,932,"1,176","2,144"
Bristol (pt.),Acushnet,Acushnet,-,3,9,917,"1,190","2,139"
Berkshire,Adams,Adams,-,1,1,527,253,802
Berkshire,Adams,Adams,-,2,1,574,291,888
Berkshire,Adams,Adams,-,3,1,601,324,949
Berkshire,Adams,Adams,-,4,1,512,269,800
Berkshire,Adams,Adams,-,5,1,680,291,995
Hampden (pt.),Agawam,Agawam,-,1,1,825,922,"1,771"
Hampden (pt.),Agawam,Agawam,-,2,1,"1,036","1,121","2,191"
Hampden (pt.),Agawam,Agawam,-,3,1,"1,022","1,041","2,098"
Hampden (pt.),Agawam,Agawam,-,4,1,848,836,"1,715"
Hampden (pt.),Agawam,Agawam,-,5,1,"1,131","1,074","2,240"
Hampden (pt.),Agawam,Agawam,-,6,1,930,954,"1,921"
Hampden (pt.),Agawam,Agawam,-,7,1,910,"1,074","2,022"
Hampden (pt.),Agawam,Agawam,-,8,1,"1,092","1,051","2,169"
Berkshire,Alford,Alford,-,1,1,271,50,323
Essex (pt.),Amesbury,Amesbury,-,1,6,"1,209",646,"1,887"
Essex (pt.),Amesbury,Amesbury,-,2,6,"1,165",502,"1,708"
Essex (pt.),Amesbury,Amesbury,-,3,6,"1,189",510,"1,746"
Essex (pt.),Amesbury,Amesbury,-,4,6,977,487,"1,493"
Essex (pt.),Amesbury,Amesbury,-,5,6,"1,167",732,"1,953"
Essex (pt.),Amesbury,Amesbury,-,6,6,"1,079",449,"1,553"
Hampshire (pt.),Amherst,Amherst,-,1,2,944,62,"1,031"
Hampshire (pt.),Amherst,Amherst,-,2,2,"1,267",121,"1,412"
Hampshire (pt.),Amherst,Amherst,-,3,2,476,46,531
Hampshire (pt.),Amherst,Amherst,-,4,2,449,29,482
Hampshire (pt.),Amherst,Amherst,-,5,2,"1,019",98,"1,141"
Hampshire (pt.),Amherst,Amherst,-,6,2,"1,580",133,"1,745"
Hampshire (pt.),Amherst,Amherst,-,7,2,"1,547",150,"1,727"
Hampshire (pt.),Amherst,Amherst,-,8,2,"1,765",127,"1,923"
