County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adams,Adams,3,7917,5696,13759,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Alcorn,Alcorn,1,2782,12818,15793,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Amite,Amite,3,2620,4503,7196,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Attala,Attala,2,3542,5178,8823,,,,,,,,,,,,,,,,,,,,,
Benton,Benton,1,1679,2570,4289,,,,,,,,,,,,,,,,,,,,,
Bolivar,Bolivar,2,8904,4671,13744,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,1,1902,4625,6590,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,2,1729,3924,5701,,,,,,,,,,,,,,,,,,,,,
Chickasaw,Chickasaw,1,3810,4175,8141,,,,,,,,,,,,,,,,,,,,,
Choctaw,Choctaw,1,1185,3001,4223,,,,,,,,,,,,,,,,,,,,,
Claiborne,Claiborne,2,3772,603,4449,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,1,5844,4181,10189,,,,,,,,,,,,,,,,,,,,,
Coahoma,Coahoma,2,6020,2375,8501,,,,,,,,,,,,,,,,,,,,,
Copiah,Copiah,2,6470,6250,12883,,,,,,,,,,,,,,,,,,,,,
Covington,Covington,3,3416,5854,9360,,,,,,,,,,,,,,,,,,,,,
DeSoto,DeSoto,1,28265,46462,76124,,,,,,,,,,,,,,,,,,,,,
Forrest,Forrest,4,13755,17290,31654,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,3,1480,2923,4461,,,,,,,,,,,,,,,,,,,,,
George,George,4,1218,9713,11049,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,4,966,4794,5812,,,,,,,,,,,,,,,,,,,,,
Grenada,Grenada,2,4734,6081,10911,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,4,4504,16132,20957,,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,4,27728,46822,75768,,,,,,,,,,,,,,,,,,,,,
Holmes,Holmes,2,6588,1369,8115,,,,,,,,,,,,,,,,,,,,,
Humphreys,Humphreys,2,3016,1118,4189,,,,,,,,,,,,,,,,,,,,,
Issaquena,Issaquena,2,355,308,676,,,,,,,,,,,,,,,,,,,,,
Itawamba,Itawamba,1,1249,9438,10819,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,4,17375,36295,54543,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,3,4341,4302,8736,,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,2,3327,531,3908,,,,,,,,,,,,,,,,,,,,,
Jefferson Davis,JeffersonDavis,3,3599,2534,6213,,,,,,,,,,,,,,,,,,,,,
Jones,Jones,4,8517,21226,30091,,,,,,,,,,,,,,,,,,,,,
Kemper,Kemper,3,2887,1787,4731,,,,,,,,,,,,,,,,,,,,,
Lafayette,Lafayette,1,10070,12949,23423,,,,,,,,,,,,,,,,,,,,,
Lamar,Lamar,4,7340,20704,28485,,,,,,,,,,,,,,,,,,,,,
Lauderdale,Lauderdale,3,12960,17967,31247,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,3,2260,4285,6613,,,,,,,,,,,,,,,,,,,,,
Leake,Leake,2,3897,5228,9200,,,,,,,,,,,,,,,,,,,,,
Lee,Lee,1,12189,24207,36954,,,,,,,,,,,,,,,,,,,,,
Leflore,Leflore,2,7648,3129,10893,,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,3,5040,11596,16801,,,,,,,,,,,,,,,,,,,,,
Lowndes,Lowndes,1,13087,13800,27241,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,4,3787,8273,12177,,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,1,8057,7566,15817,,,,,,,,,,,,,,,,,,,,,
Monroe,Monroe,1,5874,11177,17259,,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,2,2121,2917,5075,,,,,,,,,,,,,,,,,,,,,
Neshoba,Neshoba,3,3260,8320,11703,,,,,,,,,,,,,,,,,,,,,
Newton,Newton,3,3075,6997,10183,,,,,,,,,,,,,,,,,,,,,
Noxubee,Noxubee,3,4040,1240,5339,,,,,,,,,,,,,,,,,,,,,
Panola,Panola,2,7403,8060,15627,,,,,,,,,,,,,,,,,,,,,
Pearl River,PearlRiver,4,4148,19595,24033,,,,,,,,,,,,,,,,,,,,,
Perry,Perry,4,1362,4500,5916,,,,,,,,,,,,,,,,,,,,,
Pike,Pike,3,8646,8479,17342,,,,,,,,,,,,,,,,,,,,,
Pontotoc,Pontotoc,1,2614,11550,14361,,,,,,,,,,,,,,,,,,,,,
Prentiss,Prentiss,1,2153,8370,10644,,,,,,,,,,,,,,,,,,,,,
Quitman,Quitman,2,2150,1026,3226,,,,,,,,,,,,,,,,,,,,,
Rankin,Rankin,3,18847,50895,70655,,,,,,,,,,,,,,,,,,,,,
Scott,Scott,3,4330,6285,10733,,,,,,,,,,,,,,,,,,,,,
Sharkey,Sharkey,2,1465,688,2183,,,,,,,,,,,,,,,,,,,,,
Simpson,Simpson,3,4037,7635,11815,,,,,,,,,,,,,,,,,,,,,
Smith,Smith,3,1791,6458,8327,,,,,,,,,,,,,,,,,,,,,
Stone,Stone,4,1802,5964,7878,,,,,,,,,,,,,,,,,,,,,
Sunflower,Sunflower,2,6781,2799,9681,,,,,,,,,,,,,,,,,,,,,
Tallahatchie,Tallahatchie,2,3105,2488,5685,,,,,,,,,,,,,,,,,,,,,
Tate,Tate,1,4183,8707,13093,,,,,,,,,,,,,,,,,,,,,
Tippah,Tippah,1,1937,8054,10102,,,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,1,1059,7933,9138,,,,,,,,,,,,,,,,,,,,,
Tunica,Tunica,2,2580,926,3562,,,,,,,,,,,,,,,,,,,,,
Union,Union,1,2160,10373,12683,,,,,,,,,,,,,,,,,,,,,
Walthall,Walthall,3,2835,4220,7119,,,,,,,,,,,,,,,,,,,,,
Warren,Warren,2,10442,10365,21053,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,2,12503,5300,18008,,,,,,,,,,,,,,,,,,,,,
Wayne,Wayne,4,3624,6307,10056,,,,,,,,,,,,,,,,,,,,,
Webster,Webster,1,1043,4291,5395,,,,,,,,,,,,,,,,,,,,,
Wilkinson,Wilkinson,3,2749,1324,4127,,,,,,,,,,,,,,,,,,,,,
Winston,Winston,1,4040,5112,9236,,,,,,,,,,,,,,,,,,,,,
Yalobusha,Yalobusha,2,2785,3671,6535,,,,,,,,,,,,,,,,,,,,,
Yazoo,Yazoo,2,5496,4832,10436,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke (pt.),Clarke,3,"2,233","4,976","7,283",74,,,,,,,,,,,,,,,,,,,,
Clarke (pt.),Clarke,4,605,441,"1,055",9,,,,,,,,,,,,,,,,,,,,
Hinds (pt.),Hinds,2,"65,264","19,239","85,498",995,,,,,,,,,,,,,,,,,,,,
Hinds (pt.),Hinds,3,"8,286","5,902","14,497",309,,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,2,"9,232","2,624","11,965",109,,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,3,"15,208","28,467","44,247",572,,,,,,,,,,,,,,,,,,,,
Oktibbeha (pt.),Oktibbeha,1,701,"1,000","1,717",17,,,,,,,,,,,,,,,,,,,,
Oktibbeha (pt.),Oktibbeha,3,"9,598","8,004","18,040",437,,,,,,,,,,,,,,,,,,,,
