County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adair,Adair,6,3710,6413,10335,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Andrew,Andrew,6,2351,7255,9752,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Atchison,Atchison,6,564,2199,2814,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Barry,Barry,7,2948,12425,15598,,,,,,,,,,,,,,,,,,,,,
Barton,Barton,4,844,5168,6077,,,,,,,,,,,,,,,,,,,,,
Bates,Bates,4,1672,6597,8416,,,,,,,,,,,,,,,,,,,,,
Benton,Benton,4,2180,8109,10475,,,,,,,,,,,,,,,,,,,,,
Bollinger,Bollinger,8,750,5167,5983,,,,,,,,,,,,,,,,,,,,,
Boone,Boone,4,50064,38646,91130,,,,,,,,,,,,,,,,,,,,,
Buchanan,Buchanan,6,13445,22450,36598,,,,,,,,,,,,,,,,,,,,,
Butler,Butler,8,3301,14602,18140,,,,,,,,,,,,,,,,,,,,,
Caldwell,Caldwell,6,897,3725,4682,,,,,,,,,,,,,,,,,,,,,
Callaway,Callaway,3,5870,14815,21140,,,,,,,,,,,,,,,,,,,,,
Cape Girardeau,CapeGirardeau,8,10760,28907,40309,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,6,786,3706,4532,,,,,,,,,,,,,,,,,,,,,
Carter,Carter,8,418,2451,2897,,,,,,,,,,,,,,,,,,,,,
Cass,Cass,4,19052,37197,57398,,,,,,,,,,,,,,,,,,,,,
Cedar,Cedar,4,1145,5788,7043,,,,,,,,,,,,,,,,,,,,,
Chariton,Chariton,6,916,3111,4076,,,,,,,,,,,,,,,,,,,,,
Christian,Christian,7,11131,34920,46825,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,6,678,2672,3394,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,6,2896,7799,10888,,,,,,,,,,,,,,,,,,,,,
Cole,Cole,3,12694,26086,39514,,,,,,,,,,,,,,,,,,,,,
Cooper,Cooper,4,2249,6272,8690,,,,,,,,,,,,,,,,,,,,,
Crawford,Crawford,8,2113,8725,10973,,,,,,,,,,,,,,,,,,,,,
Dade,Dade,4,656,3414,4119,,,,,,,,,,,,,,,,,,,,,
Dallas,Dallas,4,1380,6619,8104,,,,,,,,,,,,,,,,,,,,,
Daviess,Daviess,6,746,3102,3909,,,,,,,,,,,,,,,,,,,,,
De Kalb,DeKalb,6,930,3828,4843,,,,,,,,,,,,,,,,,,,,,
Dent,Dent,8,1056,5987,7142,,,,,,,,,,,,,,,,,,,,,
Douglas,Douglas,8,1016,5898,7000,,,,,,,,,,,,,,,,,,,,,
Dunklin,Dunklin,8,2200,8135,10419,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,3,14569,38058,53677,,,,,,,,,,,,,,,,,,,,,
Gasconade,Gasconade,3,1601,6222,7923,,,,,,,,,,,,,,,,,,,,,
Gentry,Gentry,6,613,2581,3235,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,7,55068,83630,141748,,,,,,,,,,,,,,,,,,,,,
Grundy,Grundy,6,799,3585,4437,,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,6,597,3198,3825,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,4,2619,8027,10788,,,,,,,,,,,,,,,,,,,,,
Hickory,Hickory,4,1056,3966,5080,,,,,,,,,,,,,,,,,,,,,
Holt,Holt,6,338,1976,2343,,,,,,,,,,,,,,,,,,,,,
Howard,Howard,4,1413,3553,5091,,,,,,,,,,,,,,,,,,,,,
Howell,Howell,8,3218,15181,18648,,,,,,,,,,,,,,,,,,,,,
Iron,Iron,8,945,3596,4592,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,7,13549,37728,52346,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,4,6974,15489,23122,,,,,,,,,,,,,,,,,,,,,
Kansas City- Jackson,KansasCity,5,107660,26393,136560,,,,,,,,,,,,,,,,,,,,,
Knox,Knox,6,340,1486,1854,,,,,,,,,,,,,,,,,,,,,
Laclede,Laclede,4,2780,13762,16792,,,,,,,,,,,,,,,,,,,,,
Lafayette,Lafayette,5,4472,12273,17051,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,7,3214,14426,17905,,,,,,,,,,,,,,,,,,,,,
Lewis,Lewis,6,984,3553,4609,,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,3,6607,21848,29017,,,,,,,,,,,,,,,,,,,,,
Linn,Linn,6,1275,4363,5721,,,,,,,,,,,,,,,,,,,,,
Livingston,Livingston,6,1410,5267,6757,,,,,,,,,,,,,,,,,,,,,
Macon,Macon,6,1662,6076,7836,,,,,,,,,,,,,,,,,,,,,
Madison,Madison,8,1019,4584,5676,,,,,,,,,,,,,,,,,,,,,
