County,ShortName,CD,Biden,Trump,Total,
Adams,Adams,3,4213,10085,14602,
Antelope,Antelope,3,452,3093,3583,
Arthur,Arthur,3,21,260,284,
Banner,Banner,3,43,362,410,
Blaine,Blaine,3,35,280,317,
Boone,Boone,3,499,2653,3217,
Box Butte,BoxButte,3,1051,4002,5181,
Boyd,Boyd,3,135,1010,1153,
Brown,Brown,3,191,1470,1679,
Buffalo,Buffalo,3,6350,16640,23589,
Burt,Burt,1,1063,2580,3731,
Butler,Butler,1,873,3542,4498,
Cass,Cass,1,4737,10121,15284,
Cedar,Cedar,3,725,4174,4996,
Chase,Chase,3,226,1740,1993,
Cherry,Cherry,3,373,2844,3265,
Cheyenne,Cheyenne,3,855,3813,4765,
Clay,Clay,3,632,2848,3558,
Colfax,Colfax,1,1025,2636,3717,
Cuming,Cuming,1,870,3507,4451,
Custer,Custer,3,786,5090,5993,
Dakota,Dakota,3,2744,3926,6794,
Dawes,Dawes,3,1082,2931,4121,
Dawson,Dawson,3,2497,6524,9178,
Deuel,Deuel,3,141,871,1032,
Dodge,Dodge,1,5544,10984,16876,
Douglas,Douglas,2,150350,119159,274951,
Dundy,Dundy,3,105,883,999,
Fillmore,Fillmore,3,693,2359,3134,
Franklin,Franklin,3,276,1437,1724,
Frontier,Frontier,3,189,1229,1440,
Furnas,Furnas,3,399,2163,2601,
Gage,Gage,3,3385,7445,11068,
Garden,Garden,3,161,1016,1195,
Garfield,Garfield,3,133,933,1075,
Gosper,Gosper,3,215,893,1118,
Grant,Grant,3,20,375,402,
Greeley,Greeley,3,229,1016,1258,
Hall,Hall,3,7681,16189,24374,
Hamilton,Hamilton,3,1118,4309,5533,
Harlan,Harlan,3,282,1615,1928,
Hayes,Hayes,3,34,494,534,
Hitchcock,Hitchcock,3,175,1264,1469,
Holt,Holt,3,686,4769,5537,
Hooker,Hooker,3,59,376,442,
Howard,Howard,3,648,2786,3501,
Jefferson,Jefferson,3,1016,2616,3716,
Johnson,Johnson,3,647,1518,2229,
Kearney,Kearney,3,701,2822,3604,
Keith,Keith,3,763,3544,4364,
Keya Paha,KeyaPaha,3,49,476,529,
Kimball,Kimball,3,268,1563,1874,
Knox,Knox,3,905,3721,4697,
Lancaster,Lancaster,1,82293,70092,156091,
Lincoln,Lincoln,3,3692,13071,17107,
Logan,Logan,3,38,407,450,
Loup,Loup,3,75,370,454,
Madison,Madison,1,3478,11940,15765,
McPherson,McPherson,3,17,275,302,
Merrick,Merrick,3,743,3419,4257,
Morrill,Morrill,3,386,2113,2557,
Nance,Nance,3,359,1437,1828,
Nemaha,Nemaha,3,921,2428,3423,
Nuckolls,Nuckolls,3,409,1857,2303,
Otoe,Otoe,1,2490,5649,8315,
Pawnee,Pawnee,3,322,1071,1429,
Perkins,Perkins,3,199,1321,1544,
Phelps,Phelps,3,752,4157,5009,
Pierce,Pierce,3,480,3462,4006,
Platte,Platte,1,3260,12186,15673,
Polk,Polk,1,530,2291,2879,
Red Willow,RedWillow,3,811,4525,5452,
Richardson,Richardson,3,996,3073,4126,
Rock,Rock,3,84,744,841,
Saline,Saline,3,1986,3631,5770,
Saunders,Saunders,1,3331,9108,12735,
Scotts Bluff,ScottsBluff,3,4196,10952,15469,
Seward,Seward,1,2438,6490,9142,
Sheridan,Sheridan,3,340,2292,2672,
Sherman,Sherman,3,343,1322,1698,
Sioux,Sioux,3,72,642,729,
Stanton,Stanton,1,532,2561,3161,
Thayer,Thayer,3,624,2308,2980,
Thomas,Thomas,3,45,377,427,
Thurston,Thurston,1,1122,1180,2325,
Valley,Valley,3,412,1901,2340,
Washington,Washington,1,3554,8583,12413,
Wayne,Wayne,3,1022,3055,4200,
Webster,Webster,3,335,1511,1876,
Wheeler,Wheeler,3,59,438,502,
York,York,3,1630,5337,7143,
,,,,,,
,Split Counties,,,,,
Dixon (pt.),Dixon,1,33,79,120,SoS results
Dixon (pt.),Dixon,3,618,2256,2963,SoS results
Sarpy (pt.),Sarpy,1,15088,16761,32870,SoS results
Sarpy (pt.),Sarpy,2,26118,35218,62803,SoS results
