County,ShortName,CD,Biden,Trump,Total
Adams,Adams,AL,258,981,1269
Barnes,Barnes,AL,1820,3568,5549
Benson,Benson,AL,822,1094,1955
Billings,Billings,AL,72,541,634
Bottineau,Bottineau,AL,821,2575,3461
Bowman,Bowman,AL,228,1395,1653
Burke,Burke,AL,137,994,1151
Burleigh,Burleigh,AL,14348,34744,50460
Cass,Cass,AL,40311,42619,85425
Cavalier,Cavalier,AL,474,1499,2013
Dickey,Dickey,AL,608,1742,2413
Divide,Divide,AL,265,904,1199
Dunn,Dunn,AL,342,1951,2332
Eddy,Eddy,AL,383,854,1259
Emmons,Emmons,AL,237,1738,2002
Foster,Foster,AL,373,1362,1768
Golden Valley,GoldenValley,AL,137,871,1024
Grand Forks,GrandForks,AL,12880,16987,30741
Grant,Grant,AL,207,1145,1380
Griggs,Griggs,AL,308,907,1249
Hettinger,Hettinger,AL,196,1091,1310
Kidder,Kidder,AL,221,1215,1458
LaMoure,LaMoure,AL,527,1645,2216
Logan,Logan,AL,128,930,1072
McHenry,McHenry,AL,564,2364,2996
McIntosh,McIntosh,AL,261,1153,1444
McKenzie,McKenzie,AL,814,4482,5406
McLean,McLean,AL,1230,4198,5524
Mercer,Mercer,AL,704,3856,4662
Morton,Morton,AL,3872,12243,16547
Mountrail,Mountrail,AL,1256,2824,4155
Nelson,Nelson,AL,586,1141,1770
Oliver,Oliver,AL,129,918,1065
Pembina,Pembina,AL,786,2460,3312
Pierce,Pierce,AL,497,1585,2120
Ramsey,Ramsey,AL,1639,3577,5344
Ransom,Ransom,AL,945,1418,2449
Renville,Renville,AL,220,1065,1317
Richland,Richland,AL,2510,5072,7773
Rolette,Rolette,AL,2482,1257,3799
Sargent,Sargent,AL,738,1266,2066
Sheridan,Sheridan,AL,104,688,808
Sioux,Sioux,AL,804,258,1110
Slope,Slope,AL,44,380,426
Stark,Stark,AL,2499,12110,15005
Steele,Steele,AL,392,652,1082
Stutsman,Stutsman,AL,2676,6994,9919
Towner,Towner,AL,317,830,1172
Traill,Traill,AL,1493,2522,4125
Walsh,Walsh,AL,1333,3324,4752
Ward,Ward,AL,7293,19974,28112
Wells,Wells,AL,442,1893,2367
Williams,Williams,AL,2169,11739,14270
