Town,Precinct,CD,Biden,Trump,Total,Other
Barrington,Barrington 0101,1,1247,551,1820,22
Barrington,Barrington 0102,1,1714,623,2367,30
Barrington,Barrington 0103,1,1379,452,1862,31
Barrington,Barrington 0104,1,1624,646,2302,32
Barrington,Barrington 0105,1,1685,587,2309,37
Barrington,Barrington Limited,1,1,0,1,0
Barrington,Barrington Presidential,1,63,30,93,0
Bristol,Bristol 0201,1,626,556,1195,13
Bristol,Bristol 0202,1,484,218,720,18
Bristol,Bristol 0203,1,1441,844,2317,32
Bristol,Bristol 0204,1,921,592,1537,24
Bristol,Bristol 0205,1,960,864,1847,23
Bristol,Bristol 0206,1,823,627,1472,22
Bristol,Bristol 0207,1,623,286,921,12
Bristol,Bristol 0208,1,719,476,1229,34
Bristol,Bristol 0209,1,168,94,272,10
Bristol,Bristol Limited,1,1,0,1,0
Bristol,Bristol Presidential,1,47,38,86,1
Burrillville,Burrillville 0301,2,567,853,1449,29
Burrillville,Burrillville 0302,2,517,820,1359,22
Burrillville,Burrillville 0303,2,798,1080,1911,33
Burrillville,Burrillville 0304,2,460,572,1055,23
Burrillville,Burrillville 0305,2,518,717,1268,33
Burrillville,Burrillville 0306,2,546,779,1344,19
Burrillville,Burrillville Limited,2,0,0,0,0
Burrillville,Burrillville Presidential,2,28,85,115,2
Central Falls,Central Falls 0401,1,575,165,758,18
Central Falls,Central Falls 0402,1,225,107,334,2
Central Falls,Central Falls 0403,1,539,206,762,17
Central Falls,Central Falls 0404,1,496,139,649,14
Central Falls,Central Falls 0405,1,198,74,273,1
Central Falls,Central Falls 0406,1,312,163,481,6
Central Falls,Central Falls 0407,1,131,53,184,0
Central Falls,Central Falls 0408,1,452,139,602,11
Central Falls,Central Falls Limited,1,0,0,0,0
Central Falls,Central Falls Presidential,1,145,67,213,1
Charlestown,Charlestown 0501,2,789,578,1397,30
Charlestown,Charlestown 0502,2,761,602,1386,23
Charlestown,Charlestown 0503,2,715,538,1271,18
Charlestown,Charlestown 0504,2,614,438,1066,14
Charlestown,Charlestown Limited,2,0,0,0,0
Charlestown,Charlestown Presidential,2,30,42,73,1
Coventry,Coventry 0601,2,509,604,1137,24
Coventry,Coventry 0602,2,152,171,331,8
Coventry,Coventry 0603,2,847,919,1797,31
Coventry,Coventry 0604,2,540,585,1141,16
Coventry,Coventry 0605,2,493,654,1177,30
Coventry,Coventry 0606,2,258,425,697,14
Coventry,Coventry 0607,2,827,842,1695,26
Coventry,Coventry 0608,2,748,793,1571,30
Coventry,Coventry 0609,2,543,653,1214,18
Coventry,Coventry 0610,2,351,362,723,10
Coventry,Coventry 0611,2,540,568,1116,8
Coventry,Coventry 0612,2,573,585,1179,21
Coventry,Coventry 0613,2,477,507,1001,17
Coventry,Coventry 0614,2,276,245,526,5
Coventry,Coventry 0615,2,592,691,1299,16
Coventry,Coventry 0616,2,627,784,1437,26
Coventry,Coventry 0617,2,446,606,1070,18
Coventry,Coventry 0618,2,251,307,566,8
Coventry,Coventry Limited,2,0,0,0,0
Coventry,Coventry Presidential,2,73,160,238,5
Cranston,Cranston 0701,2,964,547,1530,19
Cranston,Cranston 0702,2,813,458,1288,17
Cranston,Cranston 0703,2,535,520,1072,17
Cranston,Cranston 0704,2,213,119,336,4
Cranston,Cranston 0705,2,235,145,382,2
Cranston,Cranston 0706,2,811,1131,1965,23
Cranston,Cranston 0707,2,827,1012,1861,22
Cranston,Cranston 0708,2,1028,965,2009,16
Cranston,Cranston 0709,2,1186,1189,2410,35
Cranston,Cranston 0710,2,981,533,1537,23
Cranston,Cranston 0711,2,814,786,1620,20
Cranston,Cranston 0712,2,914,890,1822,18
Cranston,Cranston 0713,2,872,764,1653,17
Cranston,Cranston 0714,2,205,157,364,2
Cranston,Cranston 0715,2,641,430,1085,14
Cranston,Cranston 0716,2,748,729,1490,13
Cranston,Cranston 0717,2,439,181,627,7
Cranston,Cranston 0718,2,429,366,796,1
Cranston,Cranston 0719,2,678,691,1385,16
Cranston,Cranston 0720,2,263,225,491,3
Cranston,Cranston 0721,2,987,551,1576,38
Cranston,Cranston 0722,2,516,361,897,20
Cranston,Cranston 0723,2,1496,410,1935,29
Cranston,Cranston 0724,2,1303,287,1606,16
Cranston,Cranston 0725,2,1480,617,2127,30
Cranston,Cranston 0726,2,813,406,1235,16
Cranston,Cranston 0727,2,622,224,853,7
Cranston,Cranston 0728,2,7,11,19,1
Cranston,Cranston 0730,2,1068,1512,2609,29
Cranston,Cranston 0731,2,921,937,1880,22
Cranston,Cranston Limited,2,5,1,6,0
Cranston,Cranston Presidential,2,225,158,385,2
Cumberland,Cumberland 0801,1,686,511,1218,21
Cumberland,Cumberland 0802,1,912,632,1556,12
Cumberland,Cumberland 0803,1,991,818,1832,23
Cumberland,Cumberland 0804,1,288,259,553,6
Cumberland,Cumberland 0805,1,1034,855,1927,38
Cumberland,Cumberland 0806,1,997,685,1709,27
Cumberland,Cumberland 0807,1,1323,1050,2422,49
Cumberland,Cumberland 0808,1,1274,982,2294,38
Cumberland,Cumberland 0809,1,389,356,755,10
Cumberland,Cumberland 0810,1,811,504,1327,12
Cumberland,Cumberland 0811,1,897,719,1639,23
Cumberland,Cumberland 0812,1,853,595,1464,16
Cumberland,Cumberland 0813,1,335,363,707,9
Cumberland,Cumberland Limited,1,6,5,11,0
Cumberland,Cumberland Presidential,1,73,84,162,5
