County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Abbeville,Abbeville,3,4101,8215,12433,,,,,,,,,,,,,,,,,,,0,0,#REF!
Aiken,Aiken,2,32275,51589,85185,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Allendale,Allendale,6,2718,835,3593,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Anderson,Anderson,3,27169,67565,96093,,,,,,,,,,,,,,,,,,,,,
Bamberg,Bamberg,6,4010,2417,6482,,,,,,,,,,,,,,,,,,,,,
Barnwell,Barnwell,2,4720,5492,10321,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,6,3905,4305,8291,,,,,,,,,,,,,,,,,,,,,
Cherokee,Cherokee,5,6983,18043,25270,,,,,,,,,,,,,,,,,,,,,
Chester,Chester,5,6941,8660,15757,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Chesterfield,7,7431,11297,18876,,,,,,,,,,,,,,,,,,,,,
Clarendon,Clarendon,6,8250,8361,16733,,,,,,,,,,,,,,,,,,,,,
Darlington,Darlington,7,15220,16832,32417,,,,,,,,,,,,,,,,,,,,,
Dillon,Dillon,7,6436,6582,13101,,,,,,,,,,,,,,,,,,,,,
Edgefield,Edgefield,3,4953,8184,13304,,,,,,,,,,,,,,,,,,,,,
Fairfield,Fairfield,5,7382,4625,12136,,,,,,,,,,,,,,,,,,,,,
Georgetown,Georgetown,7,15822,20487,36668,,,,,,,,,,,,,,,,,,,,,
Greenwood,Greenwood,3,12145,19431,32006,,,,,,,,,,,,,,,,,,,,,
Hampton,Hampton,6,5323,3906,9305,,,,,,,,,,,,,,,,,,,,,
Horry,Horry,7,59180,118821,179744,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,6,7185,7078,14394,,,,,,,,,,,,,,,,,,,,,
Kershaw,Kershaw,5,12699,20471,33629,,,,,,,,,,,,,,,,,,,,,
Lancaster,Lancaster,5,18937,30312,49868,,,,,,,,,,,,,,,,,,,,,
Laurens,Laurens,3,10159,20004,30488,,,,,,,,,,,,,,,,,,,,,
Lee,Lee,5,5329,3008,8431,,,,,,,,,,,,,,,,,,,,,
Lexington,Lexington,2,49301,92817,144568,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,7,8872,5711,14704,,,,,,,,,,,,,,,,,,,,,
Marlboro,Marlboro,7,6290,5044,11446,,,,,,,,,,,,,,,,,,,,,
McCormick,McCormick,3,2687,2958,5697,,,,,,,,,,,,,,,,,,,,,
Oconee,Oconee,3,10414,29698,40668,,,,,,,,,,,,,,,,,,,,,
Pickens,Pickens,3,13645,42907,57546,,,,,,,,,,,,,,,,,,,,,
Saluda,Saluda,3,2963,6210,9274,,,,,,,,,,,,,,,,,,,,,
Union,Union,5,4935,8183,13257,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Williamsburg,6,10289,5532,15985,,,,,,,,,,,,,,,,,,,,,
York,York,5,59008,82727,144050,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,1,39760,50878,91778,"1,140",,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,6,3410,1993,5469,66,,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,1,37942,52255,91895,"1,698",,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,6,7172,5007,12316,137,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,1,89558,81715,174566,"3,293",,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,6,31442,11212,43415,761,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,1,247,695,950,8,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,6,8324,9705,18262,233,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,1,29031,36317,66765,"1,417",,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,6,4713,5498,10327,116,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,6,3634,2678,6377,65,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,7,27502,29909,58087,676,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,3,12954,20394,33934,586,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,4,89522,128679,222663,"4,462",,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,3,1067,2358,3461,35,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,5,5865,9067,15126,195,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,2,4412,4552,9021,58,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,6,22822,9024,32096,249,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,2,68106,45682,115621,"1,833",,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,6,64222,12542,77861,"1,097",,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,4,50682,85377,138107,"2,048",,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,5,1984,7787,9883,112,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,5,20706,19020,40179,453,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,6,6602,1937,8626,87,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,1,229,311,555,15,,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,6,20,12,33,1,,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,1,92,123,218,3,,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,6,17,12,29,0,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,1,359,325,701,17,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,6,126,45,175,4,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,1,1,3,4,0,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,6,30,37,67,0,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,1,69,85,161,7,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,6,11,13,25,1,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,6,2,2,4,0,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,7,15,26,42,1,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,3,70,130,206,7,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,4,484,818,1352,49,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,3,4,4,8,0,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,5,22,14,36,0,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,2,10,9,19,0,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,6,51,18,69,0,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,2,125,70,200,6,,,,,,,,,,,,,,,,,,,,
