County,ShortName,CD,Biden,Trump,Total
Aurora,Aurora,AL,317,"1,052","1,405"
Beadle,Beadle,AL,"2,107","4,808","7,081"
Bennett,Bennett,AL,466,694,"1,183"
Bon Homme,BonHomme,AL,721,"2,235","3,001"
Brookings,Brookings,AL,"6,110","8,000","14,567"
Brown,Brown,AL,"6,538","10,580","17,547"
Brule,Brule,AL,673,"1,750","2,490"
Buffalo,Buffalo,AL,352,183,549
Butte,Butte,AL,939,"3,731","4,802"
Campbell,Campbell,AL,117,747,873
Charles Mix,CharlesMix,AL,"1,177","2,552","3,783"
Clark,Clark,AL,437,"1,373","1,850"
Clay,Clay,AL,"3,083","2,456","5,698"
Codington,Codington,AL,"3,837","8,958","13,161"
Corson,Corson,AL,622,647,"1,283"
Custer,Custer,AL,"1,522","3,852","5,494"
Davison,Davison,AL,"2,648","5,613","8,454"
Day,Day,AL,"1,052","1,869","2,964"
Deuel,Deuel,AL,609,"1,699","2,350"
Dewey,Dewey,AL,"1,131",790,"1,966"
Douglas,Douglas,AL,216,"1,468","1,707"
Edmunds,Edmunds,AL,417,"1,538","1,985"
Fall River,FallRiver,AL,"1,053","2,878","4,042"
Faulk,Faulk,AL,198,964,"1,182"
Grant,Grant,AL,"1,056","2,618","3,745"
Gregory,Gregory,AL,455,"1,771","2,258"
Haakon,Haakon,AL,105,"1,026","1,137"
Hamlin,Hamlin,AL,647,"2,372","3,083"
Hand,Hand,AL,373,"1,433","1,836"
Hanson,Hanson,AL,557,"1,793","2,388"
Harding,Harding,AL,49,748,813
Hughes,Hughes,AL,"2,953","5,522","8,723"
Hutchinson,Hutchinson,AL,762,"2,944","3,767"
Hyde,Hyde,AL,136,564,710
Jackson,Jackson,AL,359,738,"1,115"
Jerauld,Jerauld,AL,270,721,"1,006"
Jones,Jones,AL,90,498,599
Kingsbury,Kingsbury,AL,819,"1,904","2,779"
Lake,Lake,AL,"2,068","3,681","5,873"
Lawrence,Lawrence,AL,"4,537","8,753","13,828"
Lincoln,Lincoln,AL,"11,981","19,617","32,396"
Lyman,Lyman,AL,525,"1,042","1,597"
Marshall,Marshall,AL,858,"1,287","2,178"
McCook,McCook,AL,769,"2,068","2,900"
McPherson,McPherson,AL,222,"1,075","1,324"
Meade,Meade,AL,"3,285","9,875","13,670"
Mellette,Mellette,AL,298,449,769
Miner,Miner,AL,320,787,"1,138"
Minnehaha,Minnehaha,AL,"40,482","49,249","92,326"
Moody,Moody,AL,"1,179","1,951","3,206"
Oglala Lakota,OglalaLakota,AL,"2,829",297,"3,200"
Pennington,Pennington,AL,"20,606","35,063","57,518"
Perkins,Perkins,AL,239,"1,401","1,669"
Potter,Potter,AL,227,"1,139","1,380"
Roberts,Roberts,AL,"1,828","2,404","4,307"
Sanborn,Sanborn,AL,257,905,"1,185"
Spink,Spink,AL,998,"2,104","3,163"
Stanley,Stanley,AL,421,"1,203","1,652"
Sully,Sully,AL,185,726,930
Todd,Todd,AL,"1,963",532,"2,539"
Tripp,Tripp,AL,495,"2,161","2,696"
Turner,Turner,AL,"1,139","3,290","4,548"
Union,Union,AL,"2,725","5,944","8,855"
Walworth,Walworth,AL,565,"1,966","2,580"
Yankton,Yankton,AL,"4,016","6,581","10,900"
Ziebach,Ziebach,AL,481,404,906
