County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Anderson,Anderson,3,"11,741","23,184",35557,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bedford,Bedford,4,"4,453","14,354",19086,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bledsoe,Bledsoe,4,971,"4,725",5758,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Blount,Blount,2,"17,932","47,369",66581,,,,,,,,,,,,,,,,,,,,,
Cannon,Cannon,6,"1,261","5,190",6555,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,8,"2,559","9,205",11905,,,,,,,,,,,,,,,,,,,,,
Carter,Carter,1,"4,529","19,584",24488,,,,,,,,,,,,,,,,,,,,,
Chester,Chester,7,"1,412","5,952",7581,,,,,,,,,,,,,,,,,,,,,
Claiborne,Claiborne,2,"2,202","10,604",12943,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,6,735,"2,733",3506,,,,,,,,,,,,,,,,,,,,,
Cocke,Cocke,1,"2,533","12,162",14859,,,,,,,,,,,,,,,,,,,,,
Coffee,Coffee,6,"5,705","17,883",24282,,,,,,,,,,,,,,,,,,,,,
Crockett,Crockett,8,"1,382","4,673",6114,,,,,,,,,,,,,,,,,,,,,
Cumberland,Cumberland,6,"6,728","25,168",32279,,,,,,,,,,,,,,,,,,,,,
Davidson,Davidson,5,"199,703","100,218",309519,,,,,,,,,,,,,,,,,,,,,
Decatur,Decatur,7,904,"4,229",5241,,,,,,,,,,,,,,,,,,,,,
DeKalb,Dekalb,6,"1,750","6,672",8513,,,,,,,,,,,,,,,,,,,,,
Dickson,Dickson,5,"6,106","17,643",24323,,,,,,,,,,,,,,,,,,,,,
Dyer,Dyer,8,"3,158","11,768",15077,,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,8,"7,027","15,690",22984,,,,,,,,,,,,,,,,,,,,,
Fentress,Fentress,6,"1,214","7,441",8729,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,4,"4,864","13,987",19127,,,,,,,,,,,,,,,,,,,,,
Gibson,Gibson,8,"5,771","16,259",22329,,,,,,,,,,,,,,,,,,,,,
Giles,Giles,7,"3,298","9,784",13203,,,,,,,,,,,,,,,,,,,,,
Grainger,Grainger,2,"1,467","8,565",10133,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,1,"5,199","22,259",28086,,,,,,,,,,,,,,,,,,,,,
Grundy,Grundy,4,988,"4,802",5854,,,,,,,,,,,,,,,,,,,,,
Hamblen,Hamblen,1,"5,500","18,811",24631,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,3,"75,522","92,108",171016,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,1,362,"2,372",2744,,,,,,,,,,,,,,,,,,,,,
Hardeman,Hardeman,7,"4,180","5,760",10060,,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,7,"1,775","9,559",11538,,,,,,,,,,,,,,,,,,,,,
Hawkins,Hawkins,1,"4,083","20,405",24824,,,,,,,,,,,,,,,,,,,,,
Haywood,Haywood,8,"4,012","3,343",7437,,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,7,"2,092","9,797",12020,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,8,"3,548","11,239",15044,,,,,,,,,,,,,,,,,,,,,
Hickman,Hickman,7,"2,130","7,577",9832,,,,,,,,,,,,,,,,,,,,,
Houston,Houston,7,871,"2,718",3686,,,,,,,,,,,,,,,,,,,,,
Humphreys,Humphreys,7,"2,017","6,120",8236,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,6,"1,135","4,118",5322,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,1,1246,"6,468",7799,,,,,,,,,,,,,,,,,,,,,
Knox,Knox,2,"91,422","124,540",220401,,,,,,,,,,,,,,,,,,,,,
Lake,Lake,8,526,"1,492",2034,,,,,,,,,,,,,,,,,,,,,
Lauderdale,Lauderdale,8,"3,193","5,674",8965,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,7,"3,195","15,334",18718,,,,,,,,,,,,,,,,,,,,,
Lewis,Lewis,7,1072,"4,474",5609,,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,4,"2,919","12,281",15608,,,,,,,,,,,,,,,,,,,,,
Loudon,Loudon,2,"6,948","21,713",29340,,,,,,,,,,,,,,,,,,,,,
Macon,Macon,6,"1,307","8,096",9487,,,,,,,,,,,,,,,,,,,,,
Madison,Madison,8,"18,390","23,943",42949,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,4,"3,177","9,911",13256,,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,4,"3,605","11,043",14878,,,,,,,,,,,,,,,,,,,,,
