County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Anderson,Anderson,5,"3,955","15,110","19,221",,,,,,,,,,,,,,,,,,,0,0,#REF!
Andrews,Andrews,11,850,"4,943","5,863",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Angelina,Angelina,1,"9,143","25,076","34,568",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Aransas,Aransas,27,"2,916","9,239","12,289",,,,,,,,,,,,,,,,,,,,,
Archer,Archer,13,446,"4,300","4,795",,,,,,,,,,,,,,,,,,,,,
Armstrong,Armstrong,13,75,"1,035","1,112",,,,,,,,,,,,,,,,,,,,,
Atascosa,Atascosa,28,"5,876","12,039","18,116",,,,,,,,,,,,,,,,,,,,,
Austin,Austin,10,"2,951","11,447","14,554",,,,,,,,,,,,,,,,,,,,,
Bailey,Bailey,19,409,"1,434","1,859",,,,,,,,,,,,,,,,,,,,,
Bandera,Bandera,21,"2,505","10,057","12,712",,,,,,,,,,,,,,,,,,,,,
Baylor,Baylor,13,183,"1,494","1,700",,,,,,,,,,,,,,,,,,,,,
Bee,Bee,34,"3,288","6,006","9,414",,,,,,,,,,,,,,,,,,,,,
Blanco,Blanco,21,"1,911","5,443","7,441",,,,,,,,,,,,,,,,,,,,,
Borden,Borden,19,16,397,416,,,,,,,,,,,,,,,,,,,,,
Bosque,Bosque,25,"1,561","7,469","9,126",,,,,,,,,,,,,,,,,,,,,
Bowie,Bowie,4,"10,747","27,116","38,254",,,,,,,,,,,,,,,,,,,,,
Brazos,Brazos,17,"35,349","47,530","84,943",,,,,,,,,,,,,,,,,,,,,
Brewster,Brewster,23,"2,258","2,461","4,822",,,,,,,,,,,,,,,,,,,,,
Briscoe,Briscoe,13,78,639,725,,,,,,,,,,,,,,,,,,,,,
Brooks,Brooks,15,"1,470",998,"2,484",,,,,,,,,,,,,,,,,,,,,
Brown,Brown,11,"2,107","13,698","15,963",,,,,,,,,,,,,,,,,,,,,
Burleson,Burleson,17,"1,788","6,743","8,609",,,,,,,,,,,,,,,,,,,,,
Burnet,Burnet,25,"5,639","18,767","24,708",,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,27,"2,148","5,641","7,856",,,,,,,,,,,,,,,,,,,,,
Callahan,Callahan,11,734,"6,012","6,832",,,,,,,,,,,,,,,,,,,,,
Cameron,Cameron,34,"64,063","49,032","114,159",,,,,,,,,,,,,,,,,,,,,
Camp,Camp,4,"1,394","3,626","5,058",,,,,,,,,,,,,,,,,,,,,
Carson,Carson,13,297,"2,779","3,116",,,,,,,,,,,,,,,,,,,,,
Cass,Cass,4,"2,795","11,033","13,924",,,,,,,,,,,,,,,,,,,,,
Castro,Castro,19,466,"1,602","2,083",,,,,,,,,,,,,,,,,,,,,
