County,ShortName,CD,Biden,Trump,Total
Addison,Addison,AL,14967,6292,21884
Bennington,Bennington,AL,12705,7114,20384
Caledonia,Caledonia,AL,9011,6551,16086
Chittenden,Chittenden,AL,74961,21017,98369
Essex,Essex,AL,1405,1773,3270
Franklin,Franklin,AL,13611,11274,25690
Grand Isle,GrandIsle,AL,2905,1810,4817
Lamoille,Lamoille,AL,10240,4163,14844
Orange,Orange,AL,10304,6187,17028
Orleans,Orleans,AL,7147,6512,14023
Rutland,Rutland,AL,18230,14672,33819
Washington,Washington,AL,25191,8928,35109
Windham,Windham,AL,18767,6440,25914
Windsor,Windsor,AL,23376,9971,34249
