Line,State_Abbreviation,CD,Voting_Age_Population,Voting_Age_Population_Error,Voting_Rate,Voting_Rate_Error
1,AL,1,544464,3424,44.5607055746569,0.280231302505997
2,AL,2,516295,5674,43.8179722832877,0.481552551807347
3,AL,3,543854,4099,42.6428784195758,0.321397210725381
4,AL,4,515701,4678,44.787386489458,0.406273003150439
5,AL,5,551968,2121,47.2261073105687,0.181471704167119
6,AL,6,535753,7635,51.9508056884422,0.740349380089811
7,AL,7,504177,9052,37.519164896455,0.673619543618037
8,AK,At-large,532244,2539,53.0144069261466,0.252898255659972
9,AZ,1,568661,9203,46.7922013290871,0.757267737424562
10,AZ,2,550044,9439,53.477903585895,0.917704641714595
11,AZ,3,500787,12277,35.8471765441196,0.878808328555166
12,AZ,4,633528,10386,43.7289275296435,0.716888032293565
13,AZ,5,587681,10348,53.2710773361739,0.938007368410289
14,AZ,6,577899,11084,54.2826687708406,1.04113192903258
15,AZ,7,454957,12175,29.0249408185829,0.776729788675075
16,AZ,8,599423,9645,50.7850049130581,0.817154784495165
17,AZ,9,562791,12216,46.4195411795853,1.00758739043413
18,AR,1,548710,3198,36.6760219423739,0.213755751073813
19,AR,2,570220,3398,44.4482831187963,0.264871919676037
20,AR,3,573113,5357,40.0563239710144,0.374414343266903
21,AR,4,532069,4667,38.5085393059923,0.337774523494257
22,CA,1,553702,4675,52.6626235773033,0.444639472539187
23,CA,2,534951,6691,59.0067127643466,0.738037530738784
24,CA,3,504299,7222,46.0542257668566,0.659536541790164
25,CA,4,573118,5649,59.438719426017,0.585864213019954
26,CA,5,508369,9829,51.3442007675527,0.99270834638673
27,CA,6,506434,10206,39.8746924574574,0.803581732705171
28,CA,7,537436,8063,52.4000997328054,0.786143846235849
29,CA,8,477512,10385,35.7655933254033,0.777835293530453
30,CA,9,482967,8819,41.5686786053706,0.759046014781057
31,CA,10,493409,7043,44.9728318697065,0.641949487865731
32,CA,11,508963,9040,54.1652340150463,0.962061516251709
33,CA,12,571300,7542,55.5000875196919,0.732682758749372
34,CA,13,536892,6882,54.9155137346058,0.703919159759426
35,CA,14,511049,8400,52.2108447526558,0.858178170630035
36,CA,15,503361,8070,48.4600515335912,0.776922756979744
37,CA,16,423147,10984,33.7847131138824,0.876979604825
38,CA,17,438374,13412,48.1693713587029,1.47373614462291
39,CA,18,491580,9611,61.4829732698645,1.20206854651668
40,CA,19,482363,9857,45.6749377543468,0.933359029288309
41,CA,20,434889,8953,51.9031293042592,1.06852258084484
42,CA,21,354669,11267,32.0343757136936,1.01765677622286
43,CA,22,483064,10845,46.035100939006,1.03350833364424
44,CA,23,490446,10566,41.9565048955441,0.903896516081931
45,CA,24,508333,5576,55.9536760351974,0.613766364906982
46,CA,25,482964,10876,50.7329738862524,1.14246988178597
47,CA,26,480928,6034,53.1110686007053,0.66636209149115
48,CA,27,471963,11108,42.9347215777508,1.01050058433745
49,CA,28,502971,13353,49.8903515312016,1.32450153984253
50,CA,29,402898,11545,38.3948294605583,1.10019981762666
51,CA,30,529846,14610,49.2582750459568,1.35825013007823
52,CA,31,482081,9659,38.8928416593892,0.779258999189016
53,CA,32,449452,11398,39.3881882826197,0.998875452874389
54,CA,33,517251,10427,60.4851416430321,1.21928922691671
55,CA,34,425520,11922,35.6989095694679,1.00019364515698
56,CA,35,450565,12666,33.0749170485945,0.929781273151484
57,CA,36,536333,9648,38.5969164679406,0.694313141430215
58,CA,37,468463,13452,50.4582005409179,1.44891637904472
59,CA,38,481296,10991,42.0024267810246,0.95917828685516
60,CA,39,486713,10190,50.2129591771742,1.05127673601364
61,CA,40,340435,9624,35.6746515487538,1.00851218736383
62,CA,41,478613,8532,34.7353707483917,0.619210475321978
63,CA,42,538265,9226,43.0888131310786,0.738553296140991
64,CA,43,454185,11440,43.1656703766087,1.08725578587669
65,CA,44,395819,8661,36.2089743039116,0.792296293119276
66,CA,45,532802,12285,57.2987714010083,1.32115759073987
67,CA,46,408633,10145,36.1977618058258,0.89867018454237
68,CA,47,491712,10923,44.9523298190811,0.998581077162694
69,CA,48,529832,8764,55.6281991272705,0.920151174620255
70,CA,49,519302,10212,56.8127987182795,1.11721560962806
71,CA,50,513522,11367,50.5937428191976,1.11991126889563
72,CA,51,445034,11226,34.5654489319917,0.871914796870664
73,CA,52,546843,12471,54.1301616734602,1.23446262680463
74,CA,53,563962,15636,47.6617218890634,1.3214342162369
75,CO,1,619349,5507,59.6941304498756,0.530775986378383
76,CO,2,619285,6451,69.5584423972807,0.724579978369988
77,CO,3,565901,5796,59.4098614421957,0.608480205758545
78,CO,4,598599,5986,61.7476808347491,0.617477839884143
79,CO,5,603967,3639,53.4327206618905,0.321940884996398
80,CO,6,567801,9080,61.081611339184,0.976787696675051
81,CO,7,576138,8222,58.6781291982129,0.837388921174626
82,CT,1,523004,7034,52.4164251133835,0.704960448194544
83,CT,2,548572,5593,52.7030180176896,0.53733690340181
84,CT,3,535024,7312,50.5096967612668,0.690299692571516
85,CT,4,496370,6476,55.5333722827729,0.724528313361479
86,CT,5,511395,9390,52.9266027239218,0.971813959028981
87,DE,At-large,720867,3971,49.0817307492228,0.270373803774016
88,DC,At-large,526393,4612,43.4597344569552,0.380773101685389
89,FL,1,601423,2752,53.6042020341756,0.245282877439092
90,FL,2,573718,6050,51.5179931604028,0.543270140766783
91,FL,3,579993,6726,52.8447757128103,0.612824571062689
92,FL,4,614794,10052,62.0124789766979,1.01391594367181
93,FL,5,541992,11225,49.8763819392168,1.03297168088774
94,FL,6,621566,6917,53.6787726484396,0.597355824496927
95,FL,7,581583,10621,54.5748414241819,0.996658070759008
96,FL,8,610604,4145,59.0443233257561,0.400814144986373
97,FL,9,644898,15477,46.0130129105688,1.10427292504687
98,FL,10,546157,12769,0,0
99,FL,11,652135,10786,56.3542824721875,0.932072792818994
100,FL,12,605983,7435,55.268547137461,0.678107550817469
101,FL,13,584889,8338,54.1933597656991,0.772564082631746
102,FL,14,534225,9792,0,0
103,FL,15,578715,14070,49.3389665033739,1.19955290376519
