County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,
Adams,Adams,4,1814,3907,5836,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Asotin,Asotin,5,4250,7319,11880,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Benton,Benton,4,38706,60365,102307,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Chelan,Chelan,8,19349,22746,43025,,,,,,,,,,,,,,,,,,,,
Clallam,Clallam,6,24721,23062,49025,,,,,,,,,,,,,,,,,,,,
Clark,Clark,3,140324,126303,273451,,,,,,,,,,,,,,,,,,,,
Columbia,Columbia,5,668,1754,2482,,,,,,,,,,,,,,,,,,,,
Cowlitz,Cowlitz,3,23938,34424,59969,,,,,,,,,,,,,,,,,,,,
Ferry,Ferry,5,1486,2771,4351,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,4,13340,18039,32226,,,,,,,,,,,,,,,,,,,,
Garfield,Garfield,5,366,1069,1481,,,,,,,,,,,,,,,,,,,,
Grant,Grant,4,11819,24764,37475,,,,,,,,,,,,,,,,,,,,
Grays Harbor,GraysHarbor,6,17354,19877,38256,,,,,,,,,,,,,,,,,,,,
Island,Island,2,29213,22746,53539,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,6,17204,6931,24658,,,,,,,,,,,,,,,,,,,,
Kitsap,Kitsap,6,90277,61563,157625,,,,,,,,,,,,,,,,,,,,
Kittitas,Kittitas,8,11421,14105,26198,,,,,,,,,,,,,,,,,,,,
Klickitat,Klickitat,3,5959,7237,13481,,,,,,,,,,,,,,,,,,,,
Lewis,Lewis,3,14520,29391,45077,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,5,1713,5150,6993,,,,,,,,,,,,,,,,,,,,
Okanogan,Okanogan,4,8900,11840,21152,,,,,,,,,,,,,,,,,,,,
Pacific,Pacific,3,6794,6953,14017,,,,,,,,,,,,,,,,,,,,
Pend Oreille,PendOreille,5,2593,5728,8513,,,,,,,,,,,,,,,,,,,,
San Juan,SanJuan,2,9725,3057,13090,,,,,,,,,,,,,,,,,,,,
Skamania,Skamania,3,3192,3885,7268,,,,,,,,,,,,,,,,,,,,
Spokane,Spokane,5,135765,148576,293294,,,,,,,,,,,,,,,,,,,,
Stevens,Stevens,5,7839,19808,28283,,,,,,,,,,,,,,,,,,,,
Wahkiakum,Wahkiakum,3,1165,1741,2972,,,,,,,,,,,,,,,,,,,,
Whitman,Whitman,5,11184,9067,20964,,,,,,,,,,,,,,,,,,,,
Yakima,Yakima,4,43179,50555,95713,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,
Douglas (pt.),Douglas,4,"4,274","7,616","12,111",,,,,,,,,,,,,,,,,,,,
Douglas (pt.),Douglas,8,"3,537","5,339","9,072",,,,,,,,,,,,,,,,,,,,
King (pt.),King,1,"120,485","44,460","169,162",,,,,,,,,,,,,,,,,,,,
King (pt.),King,7,"386,926","50,488","446,135",,,,,,,,,,,,,,,,,,,,
King (pt.),King,8,"142,379","90,170","238,492",,,,,,,,,,,,,,,,,,,,
King (pt.),King,9,"257,520","84,049","348,781",,,,,,,,,,,,,,,,,,,,
Mason (pt.),Mason,6,"12,984","14,665","28,512",,,,,,,,,,,,,,,,,,,,
Mason (pt.),Mason,10,"4,285","4,045","8,600",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,6,"81,601","42,152","127,239",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,8,"41,588","58,441","102,882",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,9,"7,873","4,944","13,140",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,10,"118,444","92,193","217,453",,,,,,,,,,,,,,,,,,,,
Skagit (pt.),Skagit,1,"14,367","12,960","28,126",,,,,,,,,,,,,,,,,,,,
Skagit (pt.),Skagit,2,"23,885","19,802","44,811",,,,,,,,,,,,,,,,,,,,
Snohomish (pt.),Snohomish,1,"90,315","72,161","167,406",,,,,,,,,,,,,,,,,,,,
Snohomish (pt.),Snohomish,2,"143,272","85,923","236,005",,,,,,,,,,,,,,,,,,,,
Snohomish (pt.),Snohomish,7,"23,141","8,344","32,171",,,,,,,,,,,,,,,,,,,,
Thurston (pt.),Thurston,3,"2,537","4,457","7,227",,,,,,,,,,,,,,,,,,,,
Thurston (pt.),Thurston,10,"94,071","60,820","159,738",,,,,,,,,,,,,,,,,,,,
Walla Walla (pt.),WallaWalla,4,659,"1,936","2,682",,,,,,,,,,,,,,,,,,,,
Walla Walla (pt.),WallaWalla,5,"13,031","14,464","28,373",,,,,,,,,,,,,,,,,,,,
Whatcom (pt.),Whatcom,1,"32,464","36,879","71,085",,,,,,,,,,,,,,,,,,,,
Whatcom (pt.),Whatcom,2,"51,196","13,610","66,575",,,,,,,,,,,,,,,,,,,,
