County,CD,Biden,Trump,Total
Barbour,1,1457,5116,6677
Berkeley,2,17186,33279,51535
Boone,3,2041,6816,9012
Braxton,2,1457,4120,5664
Brooke,1,2947,7545,10656
Cabell,3,14994,21721,37360
Calhoun,2,568,2364,2971
Clay,2,641,2679,3365
Doddridge,1,435,2619,3101
Fayette,3,5063,11580,16862
Gilmer,1,599,2012,2662
Grant,1,607,4871,5509
Greenbrier,3,4655,10925,15850
Hampshire,2,1939,8033,10086
Hancock,1,3790,9806,13800
Hardy,2,1381,4859,6331
Harrison,1,9215,20683,30465
Jackson,2,3207,10093,13508
Jefferson,2,12127,15033,27703
Kanawha,2,34344,46398,82244
Lewis,2,1538,5782,7457
Lincoln,3,1711,6012,7830
Logan,3,2333,10534,13026
Marion,1,8901,16300,25794
Marshall,1,3455,10435,14080
Mason,3,2526,8491,11203
McDowell,3,1333,5148,6527
Mercer,3,5556,19237,25134
Mineral,1,2660,10040,12872
Mingo,3,1397,8544,10022
Monongalia,1,20282,20803,42072
Monroe,3,1345,5068,6490
Morgan,2,1998,6537,8695
Nicholas,3,2226,8279,10630
Ohio,1,7223,12354,19898
Pendleton,2,820,2782,3659
Pleasants,1,699,2742,3491
Pocahontas,3,1047,2895,4008
Preston,1,3163,11190,14572
Putnam,2,7878,20034,28501
Raleigh,3,7982,24673,33106
Randolph,2,3362,8673,12200
Ritchie,1,586,3649,4283
Roane,2,1455,4213,5763
Summers,3,1448,4074,5585
Taylor,1,1796,5477,7383
Tucker,1,938,2841,3844
Tyler,1,631,3226,3922
Upshur,2,2256,7771,10221
Wayne,3,4088,12585,16947
Webster,3,610,2759,3402
Wetzel,1,1539,4993,6667
Wirt,2,466,2134,2653
Wood,1,10926,27202,38762
Wyoming,3,1157,7353,8592
