County,ShortName,CD,Biden,Trump,Total
Albany,Albany,AL,"9,092","8,579","18,444"
Big Horn,BigHorn,AL,788,"4,806","5,714"
Campbell,Campbell,AL,"1,935","16,975","19,464"
Carbon,Carbon,AL,"1,427","5,014","6,632"
Converse,Converse,AL,861,"5,917","6,942"
Crook,Crook,AL,378,"3,651","4,105"
Fremont,Fremont,AL,"5,519","12,007","18,004"
Goshen,Goshen,AL,"1,203","4,878","6,210"
Hot Springs,HotSprings,AL,482,"1,999","2,566"
Johnson,Johnson,AL,897,"3,881","4,891"
Laramie,Laramie,AL,"15,217","27,891","44,662"
Lincoln,Lincoln,AL,"1,509","8,643","10,390"
Natrona,Natrona,AL,"8,530","25,271","34,990"
Niobrara,Niobrara,AL,155,"1,118","1,305"
Park,Park,AL,"3,410","12,813","16,602"
Platte,Platte,AL,890,"3,898","4,902"
Sheridan,Sheridan,AL,"4,043","11,843","16,339"
Sublette,Sublette,AL,882,"3,957","4,947"
Sweetwater,Sweetwater,AL,"3,823","12,229","16,520"
Teton,Teton,AL,"9,848","4,341","14,533"
Uinta,Uinta,AL,"1,591","7,496","9,338"
Washakie,Washakie,AL,651,"3,245","3,993"
Weston,Weston,AL,360,"3,107","3,533"
