,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,ca_1,148436.0,203557.0,360907.0,41.12860099693273,553702.0,65.18072898418282
1,ca_2,294489.0,95658.0,399857.0,73.64857936712374,534951.0,74.74647210679109
2,ca_3,179806.0,139735.0,327612.0,54.88382598928,504299.0,64.9638408959764
3,ca_4,197157.0,240869.0,448596.0,43.94979001150256,573118.0,78.27288621191447
4,ca_5,264125.0,92100.0,364567.0,72.44895999912224,508369.0,71.71306668974702
5,ca_6,225218.0,87284.0,320576.0,70.2541674985027,506434.0,63.30064727091783
6,ca_7,218137.0,164052.0,391993.0,55.64818759518665,537436.0,72.93761489740174
7,ca_8,127769.0,158451.0,293165.0,43.58262411952313,477512.0,61.39426862570993
8,ca_9,180100.0,124102.0,310973.0,57.914995835651325,482967.0,64.38804307540681
9,ca_10,154990.0,146084.0,307948.0,50.329925831633915,493409.0,62.41231919158346
10,ca_11,285019.0,90516.0,383481.0,74.32415165288502,508963.0,75.34555557083718
11,ca_12,337517.0,46574.0,392046.0,86.09117297459991,571300.0,68.62349028531419
12,ca_13,335474.0,33907.0,377198.0,88.93843551662522,536892.0,70.25584288832763
13,ca_14,279708.0,73798.0,360155.0,77.66322833224584,511049.0,70.47367277893117
14,ca_15,255430.0,94394.0,357230.0,71.50295327939983,503361.0,70.96894674001362
15,ca_16,129458.0,85647.0,220032.0,58.83598749272833,423147.0,51.99895071925359
16,ca_17,224903.0,79260.0,310238.0,72.49369838640011,438374.0,70.77016428894049
17,ca_18,294545.0,82172.0,385683.0,76.3697129507912,491580.0,78.45782985475405
18,ca_19,228232.0,91063.0,325914.0,70.02828967150843,482363.0,67.56612758441257
19,ca_20,226505.0,77969.0,311479.0,72.71918813146311,434889.0,71.62264393902812
20,ca_21,93560.0,74859.0,172064.0,54.375116235819235,354669.0,48.51396654345319
21,ca_22,146467.0,163584.0,316729.0,46.24363414780459,483064.0,65.5666743951112
22,ca_23,125068.0,176413.0,308922.0,40.48530049656547,490446.0,62.98797421122815
23,ca_24,221831.0,134810.0,365325.0,60.72154930541299,508333.0,71.8672602408264
24,ca_25,188421.0,153161.0,349249.0,53.95033342973065,482964.0,72.313671412362
25,ca_26,216840.0,128914.0,353297.0,61.376122639026086,480928.0,73.46151606893339
26,ca_27,226666.0,104088.0,337460.0,67.16825697860487,471963.0,71.5013676919589
27,ca_28,252705.0,97112.0,356476.0,70.88976536989867,502971.0,70.87406629805695
28,ca_29,186796.0,59671.0,252103.0,74.09511191854124,402898.0,62.572412868765795
29,ca_30,258910.0,110935.0,376861.0,68.70172291640685,529846.0,71.12651600653774
30,ca_31,174178.0,115221.0,296238.0,58.796643239557376,482081.0,61.44983934235119
31,ca_32,184978.0,93155.0,283909.0,65.15397539352398,449452.0,63.167813248133285
32,ca_33,285906.0,120287.0,414262.0,69.01574365980949,517251.0,80.08916367488898
33,ca_34,193874.0,40552.0,239944.0,80.7996865935385,425520.0,56.38841887572852
34,ca_35,166339.0,83352.0,255345.0,65.14284595351387,450565.0,56.672178265067195
35,ca_36,173573.0,131304.0,310310.0,55.93535496761303,536333.0,57.857711533692694
36,ca_37,275573.0,45202.0,326798.0,84.3251794686626,468463.0,69.7596181555427
37,ca_38,207000.0,101867.0,315673.0,65.57418594558293,481296.0,65.5881204082311
38,ca_39,190090.0,154439.0,351332.0,54.1055184270149,486713.0,72.18463447658065
39,ca_40,156662.0,41875.0,203218.0,77.090612052082,340435.0,59.69362727099152
40,ca_41,164574.0,96428.0,266807.0,61.682789432061384,478613.0,55.745874015122865
41,ca_42,170481.0,198259.0,375949.0,45.34684225785944,538265.0,69.84459327654594
42,ca_43,224694.0,61138.0,292083.0,76.92813344152177,454185.0,64.3092572409921
43,ca_44,188767.0,46174.0,240722.0,78.41701215510007,395819.0,60.81618113329578
44,ca_45,228624.0,181306.0,418564.0,54.62103764298889,532802.0,78.55901441811405
45,ca_46,150186.0,78247.0,233507.0,64.31755793188213,408633.0,57.14345145888854
46,ca_47,203636.0,115161.0,326086.0,62.44855651576577,491712.0,66.31646166861903
47,ca_48,199791.0,193832.0,401759.0,49.729066430372434,529832.0,75.8276208307539
48,ca_49,217061.0,167049.0,393013.0,55.22997966988369,519302.0,75.68101027918243
49,ca_50,166841.0,195430.0,370789.0,44.996210782952026,513522.0,72.20508566332114
50,ca_51,166351.0,76843.0,248810.0,66.85864716048391,445034.0,55.9080879213723
51,ca_52,257923.0,139172.0,406904.0,63.38669563336806,546843.0,74.40965688506573
52,ca_53,258866.0,119398.0,386642.0,66.95237454803151,563962.0,68.55816526645413
