,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,fl_1,143654.0,292019.0,443097.0,32.42044067100432,601423.0,73.67476800853974
1,fl_2,125746.0,263498.0,393088.0,31.989274666232497,573718.0,68.51589108237846
2,fl_3,170433.0,223087.0,398282.0,42.79204181961524,579993.0,68.67013912236872
3,fl_4,198413.0,305936.0,510715.0,38.850043566372634,614794.0,83.07091481048937
4,fl_5,214891.0,123978.0,342746.0,62.69686590069614,541992.0,63.238202777900774
5,fl_6,184607.0,263644.0,452468.0,40.80001237656586,621566.0,72.79484399082318
6,fl_7,226505.0,183414.0,414920.0,54.59004145377422,581583.0,71.34321326448675
7,fl_8,189808.0,272109.0,467055.0,40.63932513301432,610604.0,76.49065515456826
8,fl_9,232318.0,201924.0,438440.0,52.987409907855124,644898.0,67.9859450641807
9,fl_10,236868.0,141377.0,381930.0,62.018694525174766,546157.0,69.93044124674773
10,fl_11,164285.0,318054.0,485989.0,33.80426305945196,652135.0,74.52275985800486
11,fl_12,188631.0,266291.0,459697.0,41.033767894939494,605983.0,75.85971883699708
12,fl_13,211530.0,194721.0,410780.0,51.494717366960415,584889.0,70.23212951517297
13,fl_14,217176.0,158027.0,379538.0,57.22114781655592,534225.0,71.04459731386588
14,fl_15,179793.0,213736.0,398200.0,45.151431441486686,578715.0,68.80761687531859
15,fl_16,223366.0,262840.0,490589.0,45.53016883786632,638769.0,76.80225558848348
16,fl_17,151888.0,267579.0,422675.0,35.93493819128172,615104.0,68.71602200603475
17,fl_18,206388.0,244705.0,454097.0,45.450201168472816,599873.0,75.69885625790792
18,fl_19,180723.0,272764.0,456659.0,39.57504396059204,631233.0,72.34396807517984
19,fl_20,254644.0,72814.0,329313.0,77.3258267969986,507613.0,64.87481605081035
20,fl_21,239322.0,169556.0,411406.0,58.17173303257609,546101.0,75.335148626353
21,fl_22,236393.0,174889.0,413647.0,57.14848651144575,534846.0,77.33945846094016
22,fl_23,227941.0,161030.0,391205.0,58.26638207589371,510212.0,76.67499000415513
23,fl_24,225289.0,71621.0,298629.0,75.44109915647844,477697.0,62.51431346648608
24,fl_25,123434.0,197678.0,322842.0,38.233563167122,453055.0,71.25889792630034
25,fl_26,164356.0,184019.0,350423.0,46.90217251721491,476033.0,73.613173876601
26,fl_27,178643.0,167420.0,347972.0,51.3383260722127,464604.0,74.89647097312981
