,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,ga_1,143567.0,184846.0,332905.0,43.12551628843063,550713.0,60.44981687376183
1,ga_2,154980.0,120719.0,278057.0,55.73677339538297,498322.0,55.79866030398015
2,ga_3,140226.0,235998.0,380895.0,36.81487023982987,548941.0,69.38723833708906
3,ga_4,281735.0,72393.0,357718.0,78.75896656025138,527938.0,67.75757759433873
4,ga_5,313058.0,45921.0,363156.0,86.20482657590676,587385.0,61.825889323016426
5,ga_6,219611.0,175110.0,400936.0,54.7745774886765,496468.0,80.75767219639533
6,ga_7,199143.0,175209.0,379758.0,52.43944828022056,486845.0,78.00388213907917
7,ga_8,116914.0,195867.0,316121.0,36.98393969397794,527338.0,59.94656178769594
8,ga_9,85481.0,291992.0,382279.0,22.360893483555206,556967.0,68.63584377530447
9,ga_10,151655.0,230790.0,387273.0,39.159714206774034,565803.0,68.44661481116219
10,ga_11,171653.0,234930.0,413230.0,41.53933644701498,559687.0,73.83233843201647
11,ga_12,136638.0,177142.0,317584.0,43.02420776865333,540482.0,58.759403643414586
12,ga_13,277999.0,85929.0,367809.0,75.5824354488335,523476.0,70.26282007198039
13,ga_14,80973.0,235008.0,319995.0,25.30445788215441,516434.0,61.962419205551925
