,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,il_1,246996.0,82547.0,334163.0,73.91482599809075,524114.0,63.75769393681527
1,il_2,236646.0,64866.0,305536.0,77.4527387934646,497132.0,61.45973302865235
2,il_3,175910.0,135879.0,316987.0,55.49438935981602,479004.0,66.17627410209518
3,il_4,184635.0,39582.0,228702.0,80.73169451950574,410804.0,55.671804558865055
4,il_5,267640.0,96630.0,371134.0,72.11411511745084,545831.0,67.99430592985742
5,il_6,226804.0,174832.0,410398.0,55.264401873303484,523796.0,78.35073196435253
6,il_7,274302.0,38441.0,317704.0,86.33885629390879,522767.0,60.77353773287143
7,il_8,171850.0,113157.0,290457.0,59.16538420489091,442009.0,65.71291534787753
8,il_9,269573.0,104091.0,379942.0,70.95109253517641,498242.0,76.25651791699616
9,il_10,207380.0,109734.0,322791.0,64.24590524518962,468255.0,68.93487522824103
10,il_11,195556.0,114240.0,316000.0,61.88481012658228,472244.0,66.91456111671086
11,il_12,137911.0,184811.0,329203.0,41.89238858698128,528398.0,62.30209046968383
12,il_13,158853.0,170550.0,337715.0,47.03759086803962,539012.0,62.65444925159366
13,il_14,203738.0,193885.0,406028.0,50.17831282571645,525729.0,77.2314253160849
14,il_15,88679.0,246921.0,341923.0,25.935371414031817,532371.0,64.22645110270845
15,il_16,140937.0,196244.0,344643.0,40.893620354976015,520730.0,66.18458702206517
16,il_17,145978.0,150775.0,303223.0,48.14212642180837,512994.0,59.1084885983072
17,il_18,138526.0,229704.0,376889.0,36.755118881155994,531334.0,70.9325960695156
