,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,mi_1,171402.0,244455.0,422411.0,40.577068305512874,564858.0,74.78180356833045
1,mi_2,177044.0,225408.0,409870.0,43.19515944079831,551323.0,74.3429894998032
2,mi_3,194575.0,207762.0,410219.0,47.43198145380882,551028.0,74.44612614966934
3,mi_4,141708.0,234124.0,382259.0,37.071200416471555,554938.0,68.88319055462053
4,mi_5,189227.0,173212.0,367855.0,51.44064916883011,520558.0,70.66551661870531
5,mi_6,180136.0,197507.0,384748.0,46.81921673407009,541981.0,70.98920441860508
6,mi_7,163293.0,224274.0,394301.0,41.4132857892828,548462.0,71.89212744000496
7,mi_8,212085.0,215649.0,434738.0,48.7845552953733,554462.0,78.40717668658989
8,mi_9,229258.0,175081.0,410103.0,55.90254155663333,552114.0,74.27868157663092
9,mi_10,146887.0,273877.0,426468.0,34.44267799694233,553804.0,77.00702775711262
10,mi_11,237696.0,216799.0,460743.0,51.589714873584626,534817.0,86.14965492869524
11,mi_12,251770.0,134892.0,392079.0,64.21409970949732,526943.0,74.40633996466411
12,mi_13,229535.0,58162.0,291132.0,78.8422433810093,474739.0,61.324643646298284
13,mi_14,276847.0,68031.0,348045.0,79.54344984125616,512851.0,67.86474044118077
