,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,nc_1,189784.0,159478.0,352237.0,53.87963217947007,566173.0,62.213669673403714
1,nc_2,323249.0,171017.0,502490.0,64.32943939182869,601142.0,83.58923515575356
2,nc_3,140458.0,226897.0,372484.0,37.708465330054445,579504.0,64.27634666887545
3,nc_4,332603.0,160811.0,499753.0,66.55347741784442,624834.0,79.98172314566749
4,nc_5,124654.0,265677.0,394438.0,31.60293886491667,572721.0,68.87088128425533
5,nc_6,257257.0,155401.0,417805.0,61.57346130371825,567392.0,73.63603998646438
6,nc_7,187839.0,267880.0,461296.0,40.71984149006278,613510.0,75.18964646053038
7,nc_8,177877.0,202789.0,385986.0,46.08379578533936,581896.0,66.33247178189917
8,nc_9,187002.0,219264.0,410978.0,45.501705687409064,561804.0,73.15327053563165
9,nc_10,131228.0,284456.0,420394.0,31.215478812732815,585102.0,71.8496945831667
10,nc_11,196934.0,251903.0,454792.0,43.30199299899735,604505.0,75.23378632103953
11,nc_12,308124.0,125328.0,439717.0,70.07325165959014,591843.0,74.29622382963049
12,nc_13,126862.0,267639.0,399009.0,31.794270304679845,579274.0,68.88087502632607
