,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,nj_1,242214.0,142822.0,390213.0,62.07225284652228,542034.0,71.9905024408063
1,nj_2,183250.0,194366.0,382685.0,47.88533650391314,531339.0,72.02275759919749
2,nj_3,217222.0,218016.0,441362.0,49.21628957635683,570276.0,77.39445461495838
3,nj_4,191273.0,236896.0,433563.0,44.116541310028765,539643.0,80.3425598034256
4,nj_5,224937.0,202419.0,433296.0,51.91301096709871,527932.0,82.07420652659813
5,nj_6,191464.0,138919.0,334578.0,57.22551990866106,502463.0,66.58758953395574
6,nj_7,239105.0,195248.0,441160.0,54.199156768519366,527076.0,83.69950443579293
7,nj_8,182963.0,69207.0,254802.0,71.8059512876665,425604.0,59.8683283051851
8,nj_9,200019.0,118376.0,321623.0,62.19051498182655,481499.0,66.79619272314169
9,nj_10,254725.0,45311.0,302548.0,84.19325197985114,496051.0,60.99130936133583
10,nj_11,237986.0,208017.0,451995.0,52.65235234903041,548734.0,82.37051103084555
11,nj_12,243177.0,113677.0,361527.0,67.26385581159914,505683.0,71.49281269095461
