,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,ny_1,182793.0,198826.0,386329.0,47.31537109562057,530436.0,72.83234923723127
1,ny_2,168779.0,183204.0,356124.0,47.39332367377655,515987.0,69.0180178957997
2,ny_3,216247.0,175089.0,395436.0,54.685713996702376,521235.0,75.86520475409364
3,ny_4,211700.0,165073.0,380697.0,55.60852856733833,506457.0,75.16867177272701
4,ny_5,229459.0,44495.0,275508.0,83.28578480479696,501784.0,54.90569647497728
5,ny_6,152725.0,92371.0,247255.0,61.76821500070777,448065.0,55.18284177518886
6,ny_7,190811.0,40366.0,233221.0,81.81553119144502,446196.0,52.26873391962277
7,ny_8,234960.0,46711.0,283554.0,82.86252354048965,540660.0,52.44589945622018
8,ny_9,232347.0,50873.0,285350.0,81.42526721570002,486880.0,58.60787052251069
9,ny_10,218141.0,65611.0,286527.0,76.13279027805407,473542.0,60.50719893905926
10,ny_11,132366.0,163857.0,298863.0,44.289858563957395,500998.0,59.65353155102415
11,ny_12,280012.0,49337.0,332820.0,84.13316507421429,530252.0,62.766382776491184
12,ny_13,233234.0,29526.0,264872.0,88.05536259023226,505003.0,52.44958940837975
13,ny_14,161973.0,57174.0,220982.0,73.29692011114027,392398.0,56.31578142600115
14,ny_15,171328.0,25855.0,198198.0,86.44285007921371,410819.0,48.244604071379364
15,ny_16,232782.0,73665.0,309170.0,75.29255749264159,498243.0,62.052050906886805
16,ny_17,212254.0,140322.0,356203.0,59.58793160080067,502861.0,70.83528052483689
17,ny_18,184181.0,166448.0,355716.0,51.77754163433751,524373.0,67.83644466820374
18,ny_19,182965.0,177569.0,367482.0,49.788833194551025,553713.0,66.36687236889868
19,ny_20,217340.0,141619.0,366382.0,59.320599811126094,557251.0,65.74810991815178
20,ny_21,141679.0,175345.0,323276.0,43.82601863423205,551303.0,58.638534526385676
21,ny_22,139998.0,177147.0,323896.0,43.223133351446144,539437.0,60.043341483806266
22,ny_23,139037.0,175243.0,321276.0,43.27649746635292,544564.0,58.996922308489
23,ny_24,186983.0,155222.0,349961.0,53.42966787727775,539797.0,64.83196460891779
24,ny_25,218504.0,137342.0,363605.0,60.09378308879141,543698.0,66.876280582235
25,ny_26,209957.0,119410.0,335256.0,62.625873959004466,539694.0,62.11964557693804
26,ny_27,162337.0,224305.0,394811.0,41.11764869773132,564383.0,69.95444582845337
