,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,oh_1,185947.0,198433.0,390226.0,47.65110474443015,541695.0,72.03795493774172
1,oh_2,165593.0,214600.0,385916.0,42.90907865960468,557971.0,69.16416803023813
2,oh_3,231278.0,93890.0,330494.0,69.97948525540555,560963.0,58.915472143439054
3,oh_4,110336.0,237145.0,353273.0,31.232502908515507,542874.0,65.07458452605945
4,oh_5,141528.0,237762.0,385874.0,36.677257343070536,549171.0,70.26481733376308
5,oh_6,91296.0,248554.0,344239.0,26.52110888074855,545803.0,63.07019199234889
6,oh_7,120706.0,237314.0,363357.0,33.21967101225516,557024.0,65.23183920261964
7,oh_8,119846.0,243068.0,368357.0,32.53528506313169,546406.0,67.414523266582
8,oh_9,184337.0,124569.0,313541.0,58.791992115863636,545749.0,57.45150243060455
9,oh_10,172471.0,188673.0,367302.0,46.956183195299786,552514.0,66.47831548159866
10,oh_11,252725.0,60902.0,316806.0,79.77279470717095,524803.0,60.36665186746265
11,oh_12,206387.0,232899.0,446172.0,46.25727297992702,585940.0,76.14636310885074
12,oh_13,171245.0,159937.0,335895.0,50.98170559252148,559931.0,59.988641457608175
13,oh_14,185689.0,222983.0,413841.0,44.869648004910104,553668.0,74.74533474934437
14,oh_15,166098.0,221898.0,393948.0,42.16241737488197,586092.0,67.2160684670666
15,oh_16,173684.0,232207.0,411140.0,42.24449092766454,553316.0,74.30473725682974
