,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,pa_1,233446.0,207433.0,445566.0,52.393135921502086,544860.0,81.77623609734611
1,pa_2,207491.0,86128.0,295805.0,70.14452088369026,496510.0,59.57684638778675
2,pa_3,357956.0,31769.0,392103.0,91.29131886264578,564612.0,69.44645172259888
3,pa_4,276491.0,168191.0,449359.0,61.53009064022308,543723.0,82.64483937593224
4,pa_5,263644.0,137678.0,404738.0,65.1394235283072,519983.0,77.836775433043
5,pa_6,232017.0,170600.0,407525.0,56.93319428255935,522912.0,77.93376323358424
6,pa_7,199283.0,180774.0,384606.0,51.81484428220049,552078.0,69.66515601056372
7,pa_8,168613.0,184363.0,356564.0,47.28828485208826,535133.0,66.63091231525621
8,pa_9,122523.0,232114.0,359620.0,34.07012958122463,555775.0,64.70604111376007
9,pa_10,189803.0,201367.0,396974.0,47.81245119327714,552761.0,71.81657171906122
10,pa_11,148521.0,233074.0,387414.0,38.33650823150428,553568.0,69.98489797098098
11,pa_12,107799.0,232392.0,345181.0,31.2297026777256,551022.0,62.64377828834421
12,pa_13,100543.0,264265.0,369191.0,27.233329089820717,545111.0,67.72767381322336
13,pa_14,135824.0,240206.0,380075.0,35.73610471617444,551164.0,68.95860397268326
14,pa_15,96863.0,250546.0,351941.0,27.52251087540241,548615.0,64.1508161461134
15,pa_16,145265.0,213031.0,363010.0,40.01680394479491,539710.0,67.26019529006318
16,pa_17,221504.0,209636.0,436600.0,50.73385249656436,559285.0,78.06395665894847
17,pa_18,252860.0,134833.0,392002.0,64.50477293483196,544390.0,72.00756810374915
