,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,tx_1,83229.0,218700.0,305555.0,27.23863134296608,511974.0,59.68174165094321
1,tx_2,170430.0,174980.0,350446.0,48.632314250983036,520180.0,67.37014110500212
2,tx_3,209859.0,214359.0,430583.0,48.73833848526301,563318.0,76.43693260289925
3,tx_4,84680.0,258470.0,347229.0,24.387363958655527,543354.0,63.90474718139555
4,tx_5,107494.0,172395.0,283292.0,37.94459427022295,480610.0,58.944258338361664
5,tx_6,164746.0,175101.0,344549.0,47.81496971403197,554709.0,62.113468503305334
6,tx_7,170060.0,143176.0,317555.0,53.55292783927194,448262.0,70.84138294122634
7,tx_8,109291.0,274224.0,388622.0,28.122700207399475,584039.0,66.54041938980102
8,tx_9,178908.0,54944.0,236216.0,75.73915399464897,445634.0,53.006727493862684
9,tx_10,203975.0,210770.0,421154.0,48.43240239912241,593629.0,70.94565797829958
10,tx_11,58592.0,235697.0,297883.0,19.669467542625796,542570.0,54.902224597747754
11,tx_12,140683.0,224490.0,371220.0,37.897473196487255,572411.0,64.85200319350956
12,tx_13,54002.0,219888.0,277737.0,19.443574316709693,493390.0,56.291574616429195
13,tx_14,124630.0,185961.0,314976.0,39.56809407700904,532153.0,59.18899263933493
14,tx_15,119784.0,115315.0,237674.0,50.39844492876797,435170.0,54.61635682606797
15,tx_16,160809.0,77473.0,242067.0,66.43160777801187,458940.0,52.74480324225389
16,tx_17,137632.0,172342.0,315612.0,43.60797434825038,550601.0,57.321363382921575
17,tx_18,189823.0,57669.0,250836.0,75.67613899121338,480387.0,52.215401332675526
18,tx_19,71237.0,195515.0,270656.0,26.32012591629227,509891.0,53.08114871609815
19,tx_20,176738.0,96366.0,277419.0,63.70796520786247,549483.0,50.48727622146636
20,tx_21,220376.0,232770.0,460305.0,47.87608216291372,622228.0,73.97690235733525
21,tx_22,206114.0,210011.0,421488.0,48.90151083779372,577164.0,73.0274237478429
22,tx_23,146408.0,151828.0,302121.0,48.46005408429073,507547.0,59.52571880042636
23,tx_24,180609.0,161671.0,347697.0,51.94436535259148,503766.0,69.01954478865187
24,tx_25,177789.0,216186.0,400084.0,44.437918037212185,570238.0,70.16088019388395
25,tx_26,185956.0,248196.0,441183.0,42.149402855504405,605249.0,72.89280940571567
26,tx_27,104511.0,170800.0,278915.0,37.470555545596326,517267.0,53.92089578496212
27,tx_28,125703.0,115107.0,243637.0,51.594380163932406,434305.0,56.09813379997928
28,tx_29,106229.0,52937.0,161080.0,65.94797616091384,369239.0,43.6248608624766
29,tx_30,212373.0,50270.0,266014.0,79.83527182779854,479082.0,55.52577638066135
30,tx_31,192599.0,204096.0,404642.0,47.59738237750901,602236.0,67.18993882796778
31,tx_32,187919.0,151944.0,345210.0,54.436140320384695,505867.0,68.24125708931399
32,tx_33,117340.0,41209.0,160757.0,72.99215586257519,360226.0,44.626706567543714
33,tx_34,106771.0,98462.0,207201.0,51.530156707737895,424863.0,48.76889726806053
34,tx_35,187921.0,84690.0,277553.0,67.70634797678281,532967.0,52.07695786043038
35,tx_36,82881.0,221600.0,308153.0,26.896054881828185,519385.0,59.3303618702889
