,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,va_1,213535.0,233398.0,453853.0,47.04937501790227,590281.0,76.88761793112094
1,va_2,186427.0,169365.0,362346.0,51.44999530835168,559397.0,64.77439099601892
2,va_3,233646.0,108728.0,347932.0,67.15277697940977,559137.0,62.2266099363841
3,va_4,246583.0,146900.0,398796.0,61.83186391037021,579606.0,68.80467075910187
4,va_5,183175.0,217535.0,405973.0,45.11999566473632,578531.0,70.17307629150382
5,va_6,149254.0,231248.0,386961.0,38.57081204565835,582756.0,66.40189032802752
6,va_7,228335.0,223268.0,458367.0,49.814886324713605,588061.0,77.94548524727877
7,va_8,311470.0,84711.0,401441.0,77.58798926865965,533417.0,75.25838134142705
8,va_9,98653.0,244996.0,347822.0,28.3630707660815,567315.0,61.31020685157276
9,va_10,281817.0,189376.0,478159.0,58.93792650561842,565197.0,84.60041366107747
10,va_11,280673.0,112905.0,399109.0,70.3248987118807,509988.0,78.25850804332651
