,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,wa_1,257631.0,166460.0,435779.0,59.11964550838843,519555.0,83.87543185995709
1,wa_2,257291.0,145138.0,414020.0,62.144582387324284,558321.0,74.15447386001959
2,wa_3,198429.0,214391.0,423462.0,46.85875001771115,544994.0,77.70030495748577
3,wa_4,122691.0,179022.0,309502.0,39.64142396495014,443137.0,69.84341185682983
4,wa_5,178895.0,215706.0,406614.0,43.99627164829544,551532.0,73.7244620439068
5,wa_6,244141.0,168250.0,425315.0,57.4023958712954,570991.0,74.48716354548496
6,wa_7,410067.0,58832.0,478306.0,85.73319172245382,600321.0,79.67504051998847
7,wa_8,218274.0,190801.0,419669.0,52.01098961324282,522952.0,80.25000382444279
8,wa_9,265393.0,88993.0,361921.0,73.32898615996308,499184.0,72.5025241193628
9,wa_10,216800.0,157058.0,385791.0,56.19623060154332,544552.0,70.84557581277821
